Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
PGC,2016-09-30,Q3,19169000,309032000,3774383000,86777000,0.24811669988868468,50.55779521731263
DHIL,2016-09-30,Q3,32715951,143781760,184318492,96064165,0.9101558083584455,14.914234438392068
CVAT,2016-06-30,FY,432780,-642775,959684,1798217,-0.6732993660301039,33.33333333333333
RMTI,2016-09-30,Q3,-14748618,55757310,82854456,39894380,-1.0580580734615783,27.761204289107067
ERMS,2016-09-30,Q3,-34226,2523486,2573549,677834,-0.054251935616048595,-37.70491784056551
OC,2016-09-30,Q3,311000000,3893000000,7876000000,4294000000,0.31954790649884407,44.87731664802783
BCO,2016-09-30,Q3,28800000,374100000,2022500000,2217100000,0.3079390537289495,127.2114235157351
PURE,2016-07-31,FY,-14371000,5023000,7562000,1289000,-2.8610392195898866,21.568630659227384
XRX,2016-09-30,Q3,184000000,9254000000,24642000000,1076000000,0.079533174843311,24.71427301571695
SGMA,2016-10-31,Q2,179892,60448674,141325570,124762355,0.01190378468847803,75.85550565586863
OPK,2016-09-30,Q3,-11423000,2105392000,2800027000,777559000,-0.021702371814844933,-35.22190713247518
MNTX,2016-09-30,Q3,-20318000,89692000,375347000,260706000,-0.9061231770949472,62.976391455770795
LNN,2016-11-30,Q1,873000,248188000,480943000,110390000,0.014069979209309072,12.778837717670394
STRP,2016-07-31,FY,-8646000,13058000,13497000,2156000,-0.6621228365752795,926.4454171279914
JWN,2016-10-29,Q3,153000000,860000000,7966000000,10255000000,0.7116279069767442,-21.21153611403245
ZION,2016-09-30,Q3,127263000,7679307000,61038860000,490695000,0.06628879402789861,52.09542104751191
PFG,2016-09-30,Q3,1023600000,10794600000,230367600000,8880300000,0.37930076149185704,24.90778185677785
FDP,2016-09-30,Q3,215100000,1834400000,2599100000,3056900000,0.46903619712167466,-24.106848202946473
COSM,2016-09-30,Q3,-277797,-1563633,2105988,3506804,0.7106450170852112,-9.999998410542805
DLR,2016-09-30,Q3,335712000,5158721000,12299035000,1565426000,0.26030638214394614,21.83896054844284
PRZM,2016-09-30,Q3,-9867000,2386000,17608000,0,-16.54149203688181,-79.75903601047001
FEIM,2016-10-31,Q2,-1730000,92739000,118279000,25622000,-0.0746180139962691,3.7037052427568544
SF,2016-09-30,Q3,54640000,2691690000,17204908000,203488000,0.08119805772581538,39.03770962201831
VNCE,2016-10-29,Q3,-511000,148215000,396343000,204320000,-0.013790776911918497,-93.24770629952806
ICAD,2016-09-30,Q3,-6783000,27734000,41192000,7460000,-0.9782937910146391,-14.999995415027156
FMI,2016-09-30,Q3,-77583000,194376000,242316000,54460000,-1.5965551302629954,72.16274135413582
ITW,2016-09-30,Q3,1528000000,4793000000,15709000000,10200000000,1.2751929897767578,23.464628867887964
TPX,2016-09-30,Q3,135600000,151300000,2746200000,2357800000,3.5849306014540647,13.71165797401125
MDRX,2016-09-30,Q3,148000,1329684000,3810137000,392742000,0.0004452185632074989,8.048591190598293
CTHR,2016-09-30,Q3,-3452830,35811799,41308434,23133248,-0.38566395393875635,-24.999997430834203
ADM,2016-09-30,Q3,862000000,17556000000,39853000000,45845000000,0.19640009113693324,0.8062607715223293
TTD,2016-09-30,Q3,10202000,145734000,419720000,130516000,0.2800170173055018,110.57856949179214
BIOL,2016-09-30,Q3,-10944000,26060000,44619000,38049000,-1.6798158096699922,-65.71428571428571
INN,2016-09-30,Q3,97887000,977436000,1660228000,363613000,0.4005868414914122,21.50455894011708
AN,2016-09-30,Q3,315200000,2220800000,9687000000,16128500000,0.5677233429394812,-2.5662082190399054
CUDA,2016-08-31,Q2,5221000,-15761000,435982000,42367000,-1.3250428272317747,12.5
CBAN,2016-09-30,Q3,6486000,100735000,1152817000,33386000,0.2575470293343922,39.02931772174639
CLSH,2016-05-31,FY,-2610299,-1430968,255256,0,1.8241491074573295,-86.5397725540929
CPIX,2016-09-30,Q3,-234007,74529758,91074271,23944120,-0.01255911766143129,40.91815609268419
AA,2016-09-30,Q3,-203000000,6980000000,17305000000,6781000000,-0.11633237822349571,91.3288759894112
GLPI,2016-09-30,Q3,195613000,2449660000,7421320000,589456000,0.3194124898965571,10.284001639008308
HBNC,2016-09-30,Q3,18309000,345736000,3325650000,77140000,0.21182636462503182,48.927835836107505
MMEX,2014-10-31,Q2,-641203,-6958064,28799,0,0.3686100041620773,263.6363636363636
DORM,2016-09-24,Q3,77348000,579164000,668005000,630507000,0.5342044740349884,6.505059594841462
ENSG,2016-09-30,Q3,31837000,436607000,853415000,1221816000,0.29167649625406833,12.220566590642216
EZPW,2016-09-30,FY,-88430000,594983000,983244000,409107000,-0.14862609519935863,-14.1048857181758
CENT,2016-09-24,FY,45585000,553014000,1212193000,1829000000,0.08243010122709371,44.77086345342062
ENZ,2016-07-31,FY,45286000,89554000,111821000,70915000,0.5056837215534761,63.392855432264604
MAXD,2016-09-30,Q3,-9566199,-10722400,1182580,0,3.5686782809818696,-95.02487523288858
MTNB,2016-09-30,Q3,-5706931,8721976,11306760,0,-2.6172651701862053,-17.499997951090364
BLMN,2016-09-25,Q3,49046000,226761000,2660024000,3229377000,0.8651575888270029,-4.38159115608067
HAE,2016-10-01,Q2,9479000,749114000,1334826000,430209000,0.05061445921448538,22.83055141330727
DGL,2016-09-30,Q3,33026716,221134086,222738384,423099,0.5974061547435975,-4.273302860539272
ALL,2016-09-30,Q3,211000000,6692000000,43884000000,2140000000,0.1261207411835027,32.85632156210474
NUGN,2016-09-30,Q3,-8756520,-3993092,585345,409981,8.771668671796192,-98.4375
SUI,2016-09-30,Q3,29970000,2334282000,5904706000,615144000,0.05135626286798253,9.174307645599862
