Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
ARLO,2019-09-29,Q3,-105566000,179606000,426995000,247594000,-2.3510573143436186,50.146620430709795
SYK,2019-09-30,Q3,1358000000,12315000000,26659000000,10753000000,0.4410881039382866,-4.184005050426311
CNC,2019-09-30,Q3,1107000000,12311000000,34252000000,52352000000,0.35967833644707986,28.340274183801572
CWBR,2019-09-30,Q3,-9328053,10977970,15419341,0,-3.398826194642543,-25.0
LSCC,2019-09-28,Q3,29506000,309645000,593405000,303856000,0.3811590692567295,53.47183318615429
OKTA,2019-10-31,Q3,-158441000,398394000,1870777000,418740000,-1.590797050156378,100.1925430590032
EVRI,2019-09-30,Q3,20661000,-72015000,1567572000,388050000,-1.1475942511976671,3.191483485483465
BAH,2019-09-30,Q2,231711000,840183000,4568858000,3644753000,1.1031453861837242,19.61419454183507
MCOA,2018-12-31,FY,-11095791,-3134105,1919782,252135,3.540337991228756,-94.25275567026505
EXPD,2019-09-30,Q3,160627000,2207385000,3706453000,2074855000,0.29107201507666314,22.990983470946222
MELI,2019-09-30,Q3,-118001000,2038174000,4439341000,1622043000,-0.23158179821742403,98.36186209993808
COP,2019-09-30,Q3,6514000000,35146000000,70340000000,24859000000,0.7413645934103454,-40.83889197035676
NTWK,2019-09-30,Q1,-2261259,57459325,88379382,13572416,-0.15741632885523804,-49.113476001774444
TFSL,2019-09-30,FY,80237000,1696754000,14542356000,482087000,0.04728852856689891,-17.258604502485795
SUI,2019-09-30,Q3,146694000,3499826000,7397854000,962218000,0.16765862074285978,-0.606260636568529
AEL,2019-09-30,Q3,25940000,4126716000,68329993000,2350510000,0.02514347970638154,-12.479340341131657
QSR,2019-09-30,Q3,854000000,4063000000,22249000000,4124000000,0.8407580605463942,-18.597131931043315
CAAS,2019-09-30,Q3,7534000,284201000,650300000,315483000,0.10603762829828185,47.05882627933776
SRI,2019-09-30,Q3,56082000,276580000,594004000,643924000,0.8110781690650083,-40.78139955050129
OCUL,2019-09-30,Q3,-60355000,11301000,88710000,1971000,-21.362711264489867,159.86842745063717
DHI,2019-09-30,FY,1618600000.0,10020900000.0,15606600000.0,17592900000.0,0.1615224181460747,41.32043095730738
CMC,2019-08-31,FY,198093000,1623861000,3758771000,5829002000,0.12198888944312351,43.35989077706407
HELE,2019-08-31,Q2,86789000,1087375000,1775953000,790330000,0.31926060466720313,34.70637184506128
RYN,2019-09-30,Q3,50241000,1425064000,2767078000,532764000,0.14102103484475084,-4.645394815069028
BSVN,2019-09-30,Q3,3723000,100615000,826821000,38714000,0.14800974009839488,-49.78723423682819
TYL,2019-09-30,Q3,99737000,1519597000,2055089000,797590000,0.2625353958977282,32.072381882440474
CRMT,2019-10-31,Q2,29398000,278259000,575367000,317817000,0.42259908933763146,-6.726008639268652
HNI,2019-09-28,Q3,62908000,560022000,1470476000,1630868000,0.449325205081229,-12.478874099086708
DVA,2019-09-30,Q3,718332000,2318576000,17451830000,8489895000,1.2392641000338138,48.063782112939904
INFU,2019-09-30,Q3,556000,21719000,77895000,59405000,0.1023988213085317,158.79016406623657
IDT,2019-10-31,Q1,-1422000,55167000,459037000,340245000,-0.10310511718962423,43.024961130069066
MGM,2019-09-30,Q3,148430000,6060552000,31168871000,9714536000,0.0979646738448907,-18.362194367500265
GEOS,2019-09-30,FY,-146000,178847000,202001000,45847000,-0.0008163402237666833,-59.33636924830298
RDGL,2019-09-30,Q3,-1106059,-1193124,197058,8000,3.70811080826469,-30.40147433337866
GM,2019-09-30,Q3,6859000000,44554000000,231529000000,106411000000,0.615792072541186,-21.451438384139816
CCI,2019-09-30,Q3,729000000,11325000000,38344000000,700000000,0.25748344370860926,17.68218315399325
CLNE,2019-09-30,Q3,-25964000,490985000,685846000,224450000,-0.2115258103608053,18.840585385585626
BBVA,2019-09-30,Q3,484112000,14071821000,92914087000,2702845000,0.13761175614726764,-46.92307515962583
CTS,2019-09-30,Q3,26084000,395194000,648001000,353959000,0.26401210544694503,-31.674906695524452
HUSA,2019-09-30,Q3,-1026676,7194307,8200108,724848,-0.5708269052182511,-51.55555407206217
FLXS,2019-09-30,Q1,9551000,214523000,267472000,100348000,0.17808813041025903,55.80297319879104
URGN,2019-09-30,Q3,-66173000,210916000,226753000,18000,-1.2549640615221225,-21.065885328727095
QRHC,2019-09-30,Q3,-89651,61241444,80294376,76019845,-0.005855577148050265,-25.19999980926514
AZO,2019-11-23,Q1,350338000,-1776090000,12700456000,2793038000,-0.7890095659566801,-4.602080760915257
UNP,2019-09-30,Q3,4516000000,18016000000,61978000000,15392000000,1.002664298401421,23.132486855802934
NGVC,2019-09-30,FY,9416000,156906000,327114000,903582000,0.06001045211782851,-4.004000277224252
RVIV,2019-08-31,Q1,-100609,576761,749279,125682,-0.6977517550597214,-84.61538461538461
EVIO,2019-06-30,Q3,-7842302,-2575401,16263481,3023727,12.18031988028272,-95.03464184456692
ASPU,2019-10-31,Q2,-2713450,24967090,52888139,22443947,-0.4347242710303844,57.600006103515625
XSNX,2019-09-30,FY,2343982,-2235951,215192,1608723,-1.048315459506939,0.1999974250793457
A,2019-10-31,FY,1071000000,4748000000,9452000000,5163000000,0.22556866048862678,34.67986355520318
EWBC,2019-09-30,Q3,485820000,4882664000,43274659000,1415067000,0.39799584816813116,-26.303908975072087
RS,2019-09-30,Q3,539800000.0,5073400000.0,8130900000.0,8526000000.0,0.4255923049631411,4.625720260443604
WAB,2019-09-30,Q3,191000000.0,9696400000.0,18900900000.0,5831600000.0,0.07879212903758095,-12.38519544988265
NVT,2019-09-30,Q3,177200000.0,2566500000.0,4636100000.0,1637300000.0,0.27617377751802064,-19.419240058335095
GEF,2019-10-31,FY,194200000.0,1133100000.0,5426700000.0,4595000000.0,0.1713882269879093,4.416654168508927
BKE,2019-11-02,Q3,57450000,417338000,898115000,629251000,0.5506328203997719,12.541089967722897
CHD,2019-09-30,Q3,471500000.0,2559300000.0,6610100000.0,3213500000.0,0.7369202516313055,24.21584494684926
PZZA,2019-09-29,Q3,7335000,-341729000,730565000,1201734000,-0.08585750697189878,55.95033766812176
DOOR,2019-09-29,Q3,46165000,599703000,1909881000,1645446000,0.30791908661454087,58.63793471763874
RPM,2019-08-31,Q1,106496000,1343392000,5596425000,1472764000,0.31709582906552963,28.72804615537614
STCN,2019-07-31,FY,-66727000,52692000,731563000,819830000,-1.266359219615881,-70.22471487643584
BFAM,2019-09-30,Q3,132623000,894495000,3211226000,1541402000,0.5930631250034936,-2.6032794889856556
ASB,2019-09-30,Q3,254686000,3920855000,32596460000,903500000,0.25982700201869235,-36.98765319070698
SBFG,2019-09-30,Q3,8615000,134246000,1042761000,33195000,0.25669293684728034,-24.102872765547776
CVEO,2019-09-30,Q3,-26832000,505518000,1010823000,378866000,-0.21231291467366148,-47.08661252750105
GNL,2019-09-30,Q3,33545000,1615379000,3608599000,229529000,0.08306409827043684,-16.820516341771835
BKR,2019-09-30,Q3,177000000,21876000000,52549000000,17490000000,0.03236423477783873,-41.939655930760615
FVTI,2019-09-30,Q3,-321839,-703350,346547,179534,1.830320608516386,-33.443709027531376
XYL,2019-09-30,Q3,283000000,2886000000,7515000000,3878000000,0.39223839223839224,5.32529228523739
ULTA,2019-11-02,Q3,483226000,1847156000,4928848000,5092150000,1.0464216341229435,-12.825160359134468
FPI,2019-09-30,Q3,5070000,308879000,1097048000,31684000,0.0656567782205977,-0.44909781051076186
JRSH,2019-09-30,Q2,5138224,54160573,62735318,53138444,0.37948077100292127,-38.97157902079068
EXPR,2019-11-02,Q3,-22742000,549002000,2077914000,1412469000,-0.16569702842612596,-82.26744292425808
IVFH,2019-09-30,Q3,27850,10830805,15634433,40250430,0.010285477395262864,-17.25861788129118
MHO,2019-09-30,Q3,85807000,954641000,2181603000,1758140000,0.35953620261438596,20.424962324166778
BH,2019-09-30,Q3,31775000,601520000,1153950000,510418000,0.21129804495278628,-15.477066739983513
CBFV,2019-09-30,Q3,9650000,148098000,1327856000,38063000,0.26063822603951436,-31.880404569529077
VIDE,2019-08-31,Q2,-761000,3903000,8125000,5937000,-0.7799128875224186,36.666663487752274
NTCT,2019-09-30,Q2,-46815000,1940264000,3069374000,402445000,-0.09651263951709664,-5.377275801543431
CDXI,2019-09-30,Q3,-3650740,-6264921,2114414,439505,2.3309088813729653,-83.14606669334097
AE,2019-09-30,Q3,5554000,149881000,313845000,1379908000,0.14822425791127627,-35.451612164897305
TKLS,2019-09-30,Q3,-3168453,-2426257,823932,1500950,5.223606567647203,-53.5046730110797
IIPR,2019-09-30,Q3,13573000,449783000,623150000,26995000,0.12070709653321712,38.897909750798725
RSRV,2019-09-30,Q3,875419,33269426,37646064,4712970,0.10525207137628403,-30.952380952380953
GLRE,2019-09-30,Q3,26360000,506543000,1422180000,437291000,0.20815606967226868,-37.33333405994234
FDBC,2019-09-30,Q3,8862000,104789000,1011424000,29320000,0.3382797812747521,-23.196784942504394
CNP,2019-09-30,Q3,634000000,8346000000,34642000000,9071000000,0.30385813563383657,-36.97813033321342
TGT,2019-11-02,Q3,2447000000,11545000000,43741000000,54713000000,0.8478129060199221,39.946681914701024
AAT,2019-09-30,Q3,43703000,1317270000,2788958000,267794000,0.13270779718660564,-47.62516332233187
NWL,2019-09-30,Q3,-687200000.0,4137600000.0000005,16010200000.0,6738500000.0,-0.6643464810518175,-8.01282080672903
FULT,2019-09-30,Q3,178550000,2324016000,21703618000,623147000,0.30731285843126727,-41.532757356495004
LAD,2019-09-30,Q3,203500000.0,1359200000.0,5737500000.0,9403800000.0,0.5988816951147734,72.47318243139193
JBSS,2019-09-26,Q1,12926000,234050000,393222000,217846000,0.22091006195257423,-23.348562539006746
ELTP,2019-09-30,Q2,-1316039,-3058300,23533467,7994227,1.7212686786776967,-22.22222498169641
KHC,2019-09-28,Q3,1750000000,51673000000,102822000000,18441000000,0.13546726530296285,4.2777867108289405
CLSH,2019-08-31,Q1,-1376500,23757633,43854821,2859015,-0.2317570946566941,-65.83411988103508
LBTI,2019-09-30,Q3,5733708,937903,5899550,4979227,24.45330913751209,12499.999596426887
WSBF,2019-09-30,Q3,27109000,387243000,2005429000,59463000,0.28002055556846733,-11.001165947321653
FNKO,2019-09-30,Q3,34108000,224178000,810305000,581571000,0.6085878186084273,-72.19927301050335
BHLB,2019-09-30,Q3,71699000,1772224000,13531943000,384072000,0.1618283016142429,-66.40491688284152
HGBL,2019-09-30,Q3,3322000,11132000,22548000,20597000,1.1936758893280632,153.33333686546052
SPSC,2019-09-30,Q3,24550000,345068000,426597000,206391000,0.28458158971565023,66.32675042089718
COHR,2019-09-28,FY,53825000,1284736000,2083169000,1430640000,0.04189576691242403,13.746095650204929
RWT,2019-09-30,Q3,120040000,1785059000,15476283000,429700000,0.26898830794948514,-53.13832950197628
NWPP,2019-09-30,Q3,1627000,54206000,706939000,23193000,0.1200605099066524,-1.595743163077738
ALB,2019-09-30,Q3,498114000,3836559000,8141603000,2596863000,0.5193341220609405,22.03682456068151
FCBC,2019-09-30,Q3,29238000,337363000,2205047000,71598000,0.3466651648224613,-43.99135075995206
AWI,2019-09-30,Q3,166800000.0,367300000.0,1509700000.0,791200000.0,1.8164987748434522,-27.611166278043548
PEGA,2019-09-30,Q3,-91351000,528832000,917024000,634841000,-0.6909642381701561,76.75237822959936
VAC,2019-09-30,Q3,66000000,3112000000,9059000000,3001000000,0.08483290488431877,-9.091784686278798
GPN,2019-09-30,Q3,354974000,27774634000,45212047000,2924131000,0.05112204178820142,12.301885256977203
FCAP,2019-09-30,Q3,7932000,96892000,823344000,24097000,0.32745737522189655,-1.4352443451056176
AMZN,2019-09-30,Q3,2134000000,56508000000,199099000000,69981000000,0.15105825723791322,82.84645663062147
TTEK,2019-09-29,FY,158761000,989286000,2147408000,3107348000,0.1604803868648702,5.18672186399224
HSTC,2019-09-30,Q3,452052,22050,22050,0,82.00489795918368,-16.0364220172347
ENSG,2019-09-30,Q3,84360000,686259000,2359549000,1725372000,0.49170939834668836,27.319865593140513
ELRE,2019-09-30,Q3,-48899,-1497888,4701,0,0.13058119165117818,9.536079243451171
HEES,2019-09-30,Q3,65288000,293918000,2068835000,1000232000,0.8885199273266693,-31.496881359480884
TTGT,2019-09-30,Q3,12792000,147771000,214017000,98067000,0.3462655054103985,95.60585153886119
CZNC,2019-09-30,Q3,14046000,242939000,1642587000,47481000,0.23126793145604452,-37.8995461628073
WVE,2019-09-30,Q3,-136868000,114773000,347212000,13583000,-4.770041734554294,-54.50560233705478
CVGW,2019-10-31,FY,36586000,285869000,390360000,1195777000,0.12798169791058142,-23.31373277767393
THC,2019-09-30,Q3,25000000,-341000000,23357000000,13673000000,-0.2932551319648094,6.871602589268784
OCN,2019-09-30,Q3,-176998000,381185000,9956653000,861741000,-1.8573448587955979,-20.035465861774586
BNET,2019-09-30,Q3,-19160,-312028,0,0,0.24561898291178996,-13.793100967701989
