Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
PURE,2015-01-31,Q2,-3670000,4733000,5561000,390000,-3.1016268751320517,81.81818181818183
PGTI,2015-01-03,FY,16405000,73976000,311749000,306388000,0.22176111171190657,19.017771228173114
STT,2014-12-31,FY,2037000000,21473000000,274119000000,10295000000,0.09486331672332697,-15.197452618058321
SO,2014-12-31,FY,2031000000,19949000000,70923000000,18467000000,0.10180961451701839,-3.7466913657501557
GNCMA,2014-12-31,FY,59244000,167356000,2058498000,910198000,0.3539998565931308,46.10909201882102
EXLS,2014-12-31,FY,32445000,419158000,573556000,499278000,0.07740517895399826,58.79484268484727
ROK,2014-12-31,Q1,214200000,2569100000,6202000000,1409800000,0.33350200459304813,-6.4928001703715195
PFND,2014-12-31,FY,-1394000,-5943000,106000,0,0.23456166919064445,187.50001364242087
MLM,2014-12-31,FY,154294000,4351166000,7464392000,2679095000,0.03546038004525683,24.447057347638772
SEB,2014-12-31,FY,366000000,2715898000,3677320000,5372547000,0.1347620566015366,-31.109235092182498
GORO,2014-12-31,FY,16245000,90076000,111665000,115405000,0.18034770638127803,-50.0
SKX,2014-12-31,FY,152196000,1075249000,1674918000,2377561000,0.14154488867229822,68.59726928453614
GIII,2015-01-31,FY,108991000,761258000,1046718000,2116855000,0.14317222282064687,1.2408974033065612
AMGN,2014-12-31,FY,5158000000,25778000000,69009000000,19327000000,0.20009310264566685,2.5111433037823003
COP,2014-12-31,FY,6938000000,51911000000,116539000000,52524000000,0.13365182716572596,-32.52244407540926
AJG,2014-12-31,FY,303400000,3229400000,10010000000,4626500000,0.09394934043475568,-12.107052976322626
RVSB,2014-12-31,Q3,2973000,101912000,828435000,21279000,0.11668890807755711,3.794644543977105
IVFH,2014-12-31,FY,-3730948,15384280,32374041,30800858,-0.24251690686856975,-52.3333363650757
NBTB,2014-12-31,FY,75074000,864181000,7797926000,275081000,0.08687300461361683,8.10810477217603
NCMI,2015-01-01,FY,65600000,-408200000,991400000,394000000,-0.16070553650171485,12.940330129536253
RMTI,2014-12-31,FY,-21327157,68702794,97999716,54188444,-0.31042634161283167,1.4591452946242995
PMD,2014-12-31,FY,3206081,12836556,24077709,29204818,0.2497617741082577,-35.90758889346456
LULU,2015-02-01,FY,239033000,1089568000,1296213000,1797213000,0.21938327851038208,-5.265563377600204
ALL,2014-12-31,FY,2850000000,22304000000,108533000000,35239000000,0.12777977044476327,-10.590745376098198
TRST,2014-12-31,FY,44193000,393444000,4644439000,156941000,0.11232348186781346,-12.121211325090295
MKSI,2014-12-31,FY,115778000,1081822000,1224044000,673819000,0.1070213029500232,0.35519418998652347
CLCS,2014-12-31,FY,-4057479,-3783728,123105,0,1.072349545210438,127.27272234672368
GLDD,2014-12-31,FY,10295000,255963000,893234000,806831000,0.04022065689181639,-53.15420523003437
DMRC,2014-12-31,FY,-15820000,52174000,57416000,11727000,-0.30321616130639784,39.41067773823435
PCRX,2014-12-31,FY,-13716000,171145000,326072000,193526000,-0.08014256916649624,-13.128814051716036
FET,2014-12-31,FY,174377000,1395356000,2221628000,1739717000,0.12496954182301864,-39.990352294003955
CJJD,2014-12-31,Q3,-257324,15648040,54229244,56223336,-0.06577795046536179,-37.24138106422863
DLB,2014-12-26,Q1,41937000,1735008000,2022419000,13263000,0.09668428041830354,-20.96445258185147
CPLA,2014-12-31,FY,37943000,195034000,254357000,421967000,0.19454556641406115,-38.786381015100076
MDXG,2014-12-31,FY,6220000,89329000,109259000,118223000,0.06963024325806849,-17.346054174492295
ATLC,2014-12-31,FY,7327000,7441000,268355000,73676000,0.984679478564709,35.59322838672344
MTD,2014-12-31,Q4,338241000,719595000,2009110000,1930497000,1.880174264690555,13.78034264725216
FRT,2014-12-31,FY,172289000,1604401000,4546870000,686090000,0.10738524845097952,10.992055620375615
ILMN,2014-12-28,FY,353351000,1462798000,3339640000,1619511000,0.24155830128288389,-0.27963846499785283
CTBG,2014-12-31,FY,-316000,6687000,12078000,1357000,-0.04725586959772693,-82.35294097022616
LCNB,2014-12-31,FY,9869000,125695000,1108066000,39477000,0.0785154540753411,7.564694178726292
APDN,2014-12-31,Q1,-7828644,3300941,5022314,1241802,-9.486560347488792,8.996541231103143
TDW,2014-12-31,Q3,-56457000,2508765000,4716626000,1150588000,-0.09001560528786076,-78.95711231949545
STX,2015-01-02,Q2,1314000000,3715000000,10814000000,7481000000,1.4148048452220727,-44.47136971906793
SVLT,2014-06-30,Q2,-725312,-815433,5856362,522998,3.557923213801747,308.8235209041814
BK,2014-12-31,FY,2651000000,37441000000,385303000000,3234000000,0.07080473277957319,1.7500593783914558
BIAD,2014-12-31,FY,-1131130,1972133,883711,0,-0.5735566516051402,-22.39999771118164
T,2014-12-31,FY,6518000000,86924000000,292829000000,132447000000,0.07498504440660807,3.423637235462514
PUGE,2014-10-31,FY,-805272,-943350,7879,47930,0.853630147877246,-80.39702350232932
PRFT,2014-12-31,FY,23163000,304728000,426042000,386668000,0.07601205009057257,-5.743423204642751
CVCO,2014-12-27,Q3,17864000,313770000,489606000,425411000,0.22773369028269114,5.947309503966807
OTTR,2014-12-31,FY,57723000,572766000,1791279000,391633000,0.10077937587077446,-12.370801152984889
SWRL,2014-11-30,Q3,450595,4501018,15589594,6421993,0.4004383008466085,-70.26759176274477
CCRN,2014-12-31,FY,-31534000,129878000,325133000,617825000,-0.24279708649655832,32.131413268972544
FIVE,2015-01-31,FY,48024000,174269000,294862000,680218000,0.2755739689789922,4.54005562213353
MERC,2014-12-31,FY,120966000,438880000,1326807000,1073632000,0.275624316441852,-25.54922988664778
SUME,2014-12-31,FY,-3840170,-374295,11164730,49831951,10.259741647630879,100.0
NTRS,2014-12-31,FY,811800000,8448900000,109946500000,1186900000,0.09608351383020275,8.056380092351894
FN,2014-12-26,Q2,19762000,450031000,601196000,377678000,0.17565012188049267,36.647719976084446
PLUG,2014-12-31,FY,-88487823,158283119,205880660,40504929,-0.559047759224406,-27.99999713897705
COFS,2014-12-31,FY,5695000,66190000,549640000,19014000,0.08604018733947726,2.173919204953734
GARB,2014-06-30,Q2,-575330,-4172283,149,200000,0.5515733232860762,0.0
BXMT,2014-12-31,FY,100494000,1465371000,4588521000,184766000,0.0685792198699169,-7.652709639480992
FDS,2014-11-30,Q1,55860000,501633000,646479000,242676000,0.4454252411623637,24.18054012499365
KEY,2014-12-31,FY,907000000,10542000000,93821000000,2554000000,0.08603680516031113,-4.676256376753783
ARWR,2014-12-31,Q1,-22575282,146264859,162136761,170750,-0.6173808843585594,-16.937669114043036
TBI,2014-12-26,FY,65675000,469334000,1066671000,2174045000,0.1399323296415772,17.04194558658466
GLPI,2014-12-31,FY,185384000,-124736000,2564580000,635945000,-1.4862108773730118,-5.35105551008574
SRI,2014-12-31,FY,-60591000,91256000,398751000,660579000,-0.6639673007802227,15.085541103030423
KEYW,2014-12-31,FY,-12864000,304371000,473033000,290530000,-0.04226421045368974,-41.52215698710216
STEV,2014-12-31,Q3,373255,3206787,6986772,2322607,0.4655812812014019,-70.43147276514966
IFF,2014-12-31,FY,414543000,1518561000,3494621000,3088533000,0.27298409481081104,19.001580525112498
TCCO,2014-12-27,Q1,-727581,8379544,9354359,883146,-0.34731293254143664,-36.170210175624206
USNA,2015-01-03,FY,76636000,230164000,350584000,790471000,0.33296258320154326,25.80009469314208
KOSS,2014-12-31,Q2,70588,15628946,21879310,12509636,0.018065965548796446,17.14285441807338
KDUS,2014-12-31,FY,-809965,42182820,42267403,0,-0.01920130043463192,-16.666666666666664
STKS,2014-12-31,FY,4630159,12733008,41362141,40499590,0.3636343431182954,-38.14432868061515
MU,2014-12-04,Q1,1002000000,11678000000,22542000000,4573000000,0.34320945367357425,-56.72303912185181
CMC,2014-11-30,Q1,36253000,1338998000,3616300000,1679990000,0.10829889215667238,-6.695868119370904
TDY,2014-12-28,FY,215600000,1427300000,2862200000,2394000000,0.1510544384502207,-15.974015012129621
AMSWA,2015-01-31,Q3,5550000,90612000,128370000,34448000,0.2450006621639518,15.147926175900208
ITEX,2015-01-31,Q2,263000,12094000,13577000,6355000,0.0869852819579957,15.78947588567486
EXTR,2014-12-31,Q2,-32435000,134116000,475311000,215173000,-0.9673715291240419,17.280450426056706
RIHT,2014-12-31,FY,-2852705,-923222,2114432,930729,3.089944780345356,-51.266668189896414
SAND,2014-12-31,Q3,-6230,-3082,42,1350,8.085658663205711,-24.411768789522263
SAMG,2014-12-31,FY,10708000,42516000,99696000,69472000,0.2518581240003763,-24.664535148658025
POWI,2014-12-31,FY,59544000,430676000,493663000,348797000,0.13825706563634843,-2.7638195956435774
SHEN,2014-12-31,FY,33883000,258346000,619242000,326946000,0.13115356924434673,41.8239990234375
BNXR,2014-10-31,FY,-474499,1041917,1131583,140709,-0.4554095959658975,-77.50000145519145
FFIN,2014-12-31,FY,89559000,681537000,5848202000,198539000,0.1314073924086293,2.8112455695475314
MAS,2014-12-31,FY,903000000,924000000,7167000000,8521000000,0.9772727272727273,28.29595658598719
PBSV,2014-10-31,FY,2413645,20510761,23211084,27555039,0.11767700866876661,-26.190475064160147
EGP,2014-12-31,FY,48473000,571129000,1575824000,219829000,0.08487224427406068,-10.596966387890133
AMBA,2015-01-31,FY,50571000,237211000,284284000,218278000,0.2131899448170616,-29.90637718184374
TER,2014-12-31,FY,81272000,2078980000,2538520000,1364024000,0.039092247159664834,7.326926672616489
NEU,2014-12-31,FY,233255000,421041000,1231925000,2335405000,0.5539959291375425,-5.246205608449179
FSFG,2014-12-31,Q1,1200000,89509000,723144000,7009000,0.053625892368365194,38.85713849748884
VTNR,2014-12-31,FY,-5871642,58619972,133822231,258904867,-0.10016453095542249,-75.8949886236215
AKR,2014-12-31,FY,152146000,1055541000,2732600000,195012000,0.14414030340839437,4.089920147414295
ENVA,2014-12-31,FY,111671000,153984000,760197000,809837000,0.7252117103075644,-70.08086352680755
PFIE,2014-12-31,Q3,6216057,45711499,50364217,38640246,0.5439381456293962,-56.578946405280426
IVDA,2014-12-31,FY,-5657173,-756392,3484874,1558723,7.479154988418704,-41.73912777567175
USAP,2014-12-31,FY,4050000,203630000,364557000,205560000,0.019889014388842507,-63.93638237615904
PAG,2014-12-31,FY,290100000,1652800000,7228200000,17177200000,0.17552032913843174,-13.389035532268826
SMMF,2014-12-31,FY,11356000,131644000,1443568000,57626000,0.08626295159673057,0.0
VIDE,2014-11-30,Q3,-2531000,18246000,21227000,9844000,-0.554861339471665,-65.5518405316208
COHU,2014-12-27,FY,8708000,247068000,348818000,333323000,0.03524535755338611,7.750002543131511
FI,2014-12-31,FY,229312000,1211990000,1758681000,182929000,0.1892028812118912,30.984919663992745
RIG,2014-12-31,FY,-1966000000,13671000000,28413000000,9174000000,-0.1438080608587521,-33.06055368884661
FOLD,2014-12-31,FY,-68926000,122178000,209967000,1224000,-0.564144117598913,15.86539299177731
USEG,2014-12-31,FY,-2091000,107395000,123523000,32379000,-0.019470180175985848,-90.5405412952134
IBIO,2014-12-31,Q2,-3063000,9567000,11042000,1186000,-1.2806522420821573,-17.391304347826086
CVLY,2014-12-31,FY,11769000,118440000,1213846000,50400000,0.09936676798378927,5.081304396467081
QCOM,2014-12-28,Q1,1971000000,38823000000,48447000000,7099000000,0.20307549648404297,-33.92452240487394
BIOL,2014-12-31,FY,-18926000,42056000,59403000,47656000,-0.45001902225603957,-68.44106463878326
WHG,2014-12-31,FY,27249000,110007000,139874000,113241000,0.24770241893697673,-14.234874280980161
JNPR,2014-12-31,FY,-334300000,4919100000,8403100000,3408700000,-0.06795958610314895,24.14874311534298
CHEF,2014-12-26,FY,14215000,146794000,376193000,836625000,0.09683638295843154,-21.152971866392097
CAG,2015-02-22,Q3,-452300000,4452900000,17868900000,11727700000,-0.40629701991960293,21.169993444987405
AIT,2014-12-31,Q2,58829000,781666000,1480450000,1394027000,0.30104417999503624,-10.61636353671552
UNF,2014-11-29,Q1,37413000,1166967000,1461806000,370361000,0.12824013018362987,0.3970088771751277
DWSN,2014-12-31,Q1,-4765000,194316000,246391000,50802000,-0.09808765104263159,-50.308639995982205
AVGO,2015-02-01,Q1,351000000,3628000000,10697000000,1635000000,0.3869900771775083,30.550682585746515
NHI,2014-12-31,FY,103052000,1039925000,1982960000,177509000,0.0990956078563358,-11.906801208358265
AZO,2015-02-14,Q2,450033000,-1468679000,7949965000,4403916000,-1.225681037176946,18.608463977898555
ESP,2014-12-31,Q2,2130303,30384907,32604170,11390555,0.2804422603630151,12.983194334629422
NNBR,2014-12-31,FY,8217000,173699000,712713000,488601000,0.0473059718248234,-23.443578891179172
IMMR,2014-12-31,FY,4123000,76603000,97521000,0,0.05382295732543112,24.076026068439976
DLX,2014-12-31,FY,199794000,647497000,1688391000,1410858000,0.3085635918004253,-10.827311933279995
III,2014-12-31,FY,6304000,40717000,134169000,209617000,0.15482476606822704,-16.58767403003464
ITIC,2014-12-31,FY,9672498,137563706,198039210,123119286,0.07031286290004429,33.744853167648145
YUMM,2014-12-31,Q1,-5572,-47136,446,0,0.4728445349626612,445.4545336321369
WCC,2014-12-31,FY,275437000,1928652000,4754437000,7889626000,0.14281321876626785,-41.84490194561076
AEE,2014-12-31,FY,592000000,6713000000,22676000000,6053000000,0.0881870996573812,-4.61738785778498
DSNY,2014-11-30,Q1,-56309,2852575,3185186,955070,-0.07895883543815675,-42.553188143514596
JOE,2014-12-31,FY,406282000,971209000,1303135000,701873000,0.4183260245734955,2.2838504090998475
ITCI,2014-12-31,FY,-30691460,120554705,131111769,577301,-0.25458533534630606,212.8045341514292
ROBK,2014-06-30,FY,-2415868,-3500380,6758818,0,0.6901730669241625,-10.000002384185791
CSSV,2014-12-31,Q1,-2863000,-24124000,66250000,6097000,0.47471397778146246,-60.71428713977941
NBR,2014-12-31,FY,-669244000,4908619000,11879942000,6804197000,-0.13634058785169514,-36.05546995377504
CNO,2014-12-31,FY,51400000,4688200000,31184200000,4144700000,0.010963696088050852,12.253197993540047
FORM,2014-12-27,FY,-19185000,289436000,344243000,268530000,-0.06628408352796474,6.177153119859968
WFC,2014-12-31,FY,23057000000,184394000000,1687155000000,47552000000,0.12504202956712257,0.12769006788379772
FSS,2014-12-31,FY,63700000,371600000,658700000,918500000,0.17142088266953714,4.015543409384539
BURL,2015-01-31,FY,65955000,-65951000,2624569000,4814504000,-1.0000606510894452,7.891566998762369
IFAN,2014-08-31,FY,-41798,-29567,281141,0,1.4136706463286772,424.3262238139279
CAR,2014-12-31,FY,245000000,665000000,16969000000,8485000000,0.3684210526315789,-45.80129689351491
MAG,2014-12-28,FY,-27263000,23619000,78700000,109713000,-1.154282569118083,5.065128642525318
THRM,2014-12-31,FY,70119000,294219000,557892000,811300000,0.2383224740754336,33.50628294825064
UVV,2014-12-31,Q3,74086000,1368544000,2298826000,1493642000,0.21653962167091448,28.603915329679445
WU,2014-12-31,FY,852400000,1300400000,9890400000,5607200000,0.6554906182713012,1.8425456533643563
PFG,2014-12-31,FY,1176400000,10184000000,219087000000,10477600000,0.11551453260015711,-12.456676120662829
VNTH,2014-12-31,Q2,-1249878,-1286051,131769,0,3.887491242571251,-97.50000009313226
FCEL,2015-01-31,Q1,-4154000,103638000,288661000,33418000,-0.1603272930778286,-62.35875719532462
RSRV,2014-12-31,FY,6762875,36742227,44170994,21167812,0.18406274067165282,-38.37535014005603
TXT,2015-01-03,FY,600000000,4272000000,14605000000,13775000000,0.1404494382022472,1.5715611740560747
HSY,2014-12-31,FY,846912000,1455062000,5629516000,7421768000,0.5820453011624247,-12.82594226105361
