Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
AMNL,2021-03-31,Q1,-845958,-48505632,1658359,273672,0.06976163097926442,-71.38642996531195
LOPE,2021-03-31,Q1,78112000,1588678000,1885027000,236934000,0.19667169810370635,-8.991594202258458
AZO,2021-05-08,Q3,1384543000,-1763392000,14137946000,9716101000,-3.1406357746887816,31.611850753896363
TTOO,2021-03-31,Q1,-10660000,-566000,70052000,6956000,75.33568904593639,-70.55555555555556
CTLP,2021-03-31,Q3,-11363000,146019000,235908000,117921000,-0.3112745601599792,-42.576792954462626
ATO,2021-03-31,Q2,514432000,7820925000,19408810000,2233553000,0.26310545108155364,21.770363788214798
KO,2021-04-02,Q1,2255000000,20355000000,89993000000,9020000000,0.4431343650208794,19.04941733949974
XOM,2021-03-31,Q1,2796000000,156974000000,333770000000,57552000000,0.07124746773351001,50.062683201803836
PLUG,2020-12-31,FY,-596155000,1466919000,2251282000,-93237000,-0.40639939901248806,-14.951340954403285
OPY,2021-03-31,Q1,38658000,719740000,2709151000,373282000,0.21484424931225166,10.137331961629764
NBIX,2021-03-31,Q1,32100000.0,1205600000.0,1846400000.0,236600000.0,0.10650298606502986,-4.935735785869215
DYAI,2021-03-31,Q1,-3294949,25688483,28282212,460520,-0.5130624490360135,-40.437156334152206
MSN,2021-03-31,FY,-3976000,30445000,33902000,7445000,-0.13059615700443422,-40.62499941792338
MYE,2021-03-31,Q1,7305000,194253000,420281000,174429000,0.15042238729903784,8.603232975200317
KHC,2021-03-27,Q1,0,50288000000,98664000000,6394000000,0.0,-3.653746710080754
BKH,2021-03-31,Q1,100487000,2624513000,8696199000,633432000,0.15315146086150078,14.93185820271932
EDSA,2021-03-31,Q2,-4897599,19272784,24001690,0,-1.0164798194178901,-44.8148120862933
AMBA,2021-04-30,Q1,-10818000,491294000,584638000,70133000,-0.08807760729827761,-15.806745687130332
CWGL,2021-03-31,Q1,-847000,194675000,226651000,14581000,-0.017403364581995633,23.45864541966366
SABR,2021-03-31,Q1,-260194000,31739000,5827838000,327484000,-32.79170736318095,-22.95746438805696
RMD,2021-03-31,Q3,279405000,2709234000,4585724000,2320722000,0.4125225063615767,28.342433266392952
EMKR,2021-03-31,Q2,6953000,116401000,165951000,71832000,0.23893265521773868,-32.051281827351765
FJHL,2021-03-31,Q1,73015,920869,925455,162887,0.3171569463191833,47.727268109144234
VNCE,2021-05-01,Q1,-11622000,54964000,325815000,57533000,-0.8457899716177862,-21.93659299811831
ST,2021-03-31,Q1,53733000,2790643000,7945192000,942528000,0.07701880892683156,-10.250219781196341
ALCO,2021-03-31,Q2,8694000,222980000,428783000,69676000,0.15596017580052024,20.529139125302454
STRS,2021-03-31,Q1,15666000,109049000,501871000,14515000,0.5746407578244642,38.85245401351178
ONTX,2021-03-31,Q1,-4715000,37153000,48849000,56000,-0.5076306085645843,-87.46666669845581
ISCO,2021-03-31,Q1,-599000,-4698000,6019000,1658000,0.5100042571306939,-32.876712776165455
ACRE,2021-03-31,Q1,15740000,575973000,2090803000,21223000,0.10931067949365682,9.912533747871176
ERIE,2021-03-31,Q1,73566000,1208133000,2099098000,630177000,0.24356920968138443,-18.654658472098678
ADBE,2021-06-04,Q2,2377000000,13852000000,25582000000,7740000000,0.6863990759457118,-14.81466605240337
LXP,2021-03-31,Q1,41475000,1982399000,3490233000,92557000,0.08368648289269719,42.124216469827196
PPCB,2021-03-31,Q3,-1246926,-3003678,28043,0,1.6605321875380783,-93.81044481434422
MOV,2021-04-30,Q1,9751000,426777000,694706000,134798000,0.09139199160217162,14.663692248667912
CVGW,2021-04-30,Q2,14031000,271742000,474310000,497399000,0.20653413899949216,-53.615764811918766
AYX,2021-03-31,Q1,-40656000,451486000,1415747000,118759000,-0.3601972154175323,-13.42815756097745
WKSP,2021-03-31,Q1,-1223519,8828006,10209894,7650,-0.5543806834748413,-68.48404399507615
AXP,2021-03-31,Q1,2235000000,24449000000,193067000000,2192000000,0.36565912716266513,34.16288972806474
ARC,2021-03-31,Q1,612000,147886000,332311000,61730000,0.01655329104851034,97.63034519509138
AZZ,2021-02-28,FY,39614000,623292000,996442000,838917000,0.06355608607201761,-6.1306322518224725
RAVE,2021-03-28,Q3,594000,4766000,12456000,6214000,0.4985312631137222,-18.115942091582276
EFOI,2021-03-31,Q1,-1642000,3278000,12329000,2637000,-2.00366076876144,-69.78261083324242
STWD,2021-03-31,Q1,122526000,4476862000,79702323000,287230000,0.10947489558534527,-4.00161592674671
STXS,2021-03-31,Q1,-1532397,34770854,58817693,8622558,-0.17628523015281708,-45.83333008109567
TXN,2021-03-31,Q1,1753000000,10166000000,19639000000,4289000000,0.6897501475506591,-0.8148624266681543
LBRT,2021-03-31,Q1,-38616000,1204552000,1916775000,550852000,-0.1282335673345775,31.17803781804384
OEC,2021-03-31,Q1,23538000,202846000,1425809000,360077000,0.46415507330684364,-17.95131405395843
PRU,2021-03-31,Q1,2804000000,58036000000,907280000000,16952000000,0.1932593562616307,32.05269491407468
