Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
DG,2021-10-29,Q3,1801799000,6189801000,25925302000,25569001000,1.1643663503883244,17.56951851674544
WRK,2021-09-30,FY,838300000,11690000000.0,29254300000,18746100000,0.07171086398631309,-37.02589201750703
HFUS,2021-10-31,Q1,-648160,-5681178,5606853,169812,0.4563560585498289,-2.4939024827538545
PRKA,2021-10-03,FY,2798546,14569552,20981976,11655658,0.1920818155561681,-31.66666997803569
IDEX,2021-03-31,Q1,-6575000,409063000,563471000,29939000,-0.06429327511899145,-64.38356164383562
NTRR,2021-10-31,Q3,-457153,-1187874,178661,53631,1.539398959822338,-71.73913098494953
PURE,2021-10-31,Q1,-796000,2727000,3555000,501000,-1.1675834250091677,-48.64864995481323
MIND,2021-10-31,Q3,-9222000,24860000,35303000,19348000,-1.4838294448913918,-65.5367231638418
DTII,2021-10-31,Q2,-510342,-4189821,167702,0,0.4872208144452949,-92.66666637526619
OZSC,2021-09-30,Q3,-197989597,-30688469,10193602,6852929,25.806383107609573,-78.42696564311318
NEOG,2021-11-30,Q2,27905000,865476000,967934000,258822000,0.12896949193276303,-61.400450139968875
ECOX,2021-09-30,Q3,-2397783,-343593,2093971,0,27.914224096532816,-97.24409455314886
FSSN,2021-09-30,Q3,3089153,-2376364,1167050,565621,-5.199797674093699,-96.86520383929376
SGDM,2021-09-30,Q1,-1902718,4328979,18741650,1168781,-1.7581217187701765,-16.186720892960864
SCS,2021-11-26,Q3,6200000.0,856600000.0,2318800000.0,2019600000.0,0.028951669390614054,-28.607596913024746
CVGW,2021-10-31,FY,-11818000,226883000,445402000,1055830000,-0.0520885213964907,-17.961514245388262
TBLT,2021-09-30,Q3,-22570791,72838528,90983661,45351558,-1.2394973715009727,-97.28395049525635
AAPL,2021-09-25,FY,94680000000,63090000000,351002000000,365817000000,1.5007132667617689,3.4807716368943407
SRSG,2021-09-30,Q3,-130990,-670228,355664,0,0.7817638176859218,154.16665259334832
AMWD,2021-10-31,Q2,5011000,743139000,1595739000,895744000,0.02697207386505082,-34.35591703345404
