Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
AMSC,2015-12-31,Q3,-19777000,85029000,135835000,68499000,-0.9303649343165273,18.83830938243374
IEX,2015-12-31,FY,282807000,1443291000,2805443000,2020668000,0.19594593190146686,17.373707678570753
SPG,2015-06-30,Q2,1186962000,4619815000,30290458000,2565345000,1.0277138803177184,23.15916719221091
TRST,2015-12-31,FY,42238000,413310000,4734992000,159345000,0.10219447872057294,42.508139780941946
FLIC,2015-12-31,FY,25890000,250936000,3130343000,92135000,0.10317371760130073,42.5
NWMH,2015-12-31,FY,-62408,5430902,10028725,2499842,-0.011491277139598542,-93.43511399411561
AAOI,2015-12-31,FY,10793000,165398000,273475000,189903000,0.06525471892042226,41.43357035882386
BECN,2015-12-31,Q1,7118000,1211153000,2966232000,976480000,0.023508177744678005,12.991739763170107
UNAM,2015-12-31,FY,-1182870,70342072,140170435,33264639,-0.01681596754784249,2.6026049533405997
LEE,2015-12-27,Q1,11508000,-147631000,743404000,168405000,-0.3118044313186255,78.57143668090441
SFNC,2015-12-31,FY,74364000,1076855000,7559658000,300948000,0.06905665108115763,21.982088748752574
OXBR,2015-12-31,FY,4601000,37027000,52687000,6380000,0.12426067464282821,2.2727293568058378
ICFI,2015-12-31,FY,39369000,523276000,1083159000,1132232000,0.07523563090988312,54.24633395913961
DLB,2016-01-01,Q1,31011000,1803496000,2113604000,24809000,0.06877974777875859,36.03250140323898
ENZ,2016-01-31,Q2,11266000,54447000,80906000,34613000,0.8276672727606663,46.17066909015404
GFF,2015-12-31,Q1,8596000,428379000,1743189000,494149000,0.08026537248557936,47.47191643326648
PTN,2015-12-31,Q2,-25659603,7475420,35394031,0,-13.730119779223108,-22.727272727272727
ALL,2015-12-31,FY,2171000000,20025000000,104656000000,35653000000,0.10841448189762797,19.632788849656507
AAON,2015-12-31,FY,45728000,178918000,232854000,358632000,0.2555807688438279,44.48751586068863
DCOM,2015-12-31,FY,44772000,493947000,5032872000,174791000,0.09064130362164362,25.205383148289805
ASUR,2015-12-31,FY,-1757000,3718000,34211000,26906000,-0.4725658956428187,98.00443130775174
UEC,2016-01-31,Q2,-9873539,23940769,49982462,0,-1.6496611282620035,62.24489820743292
LMFA,2015-12-31,FY,1871642,6264466,14612386,6960761,0.2987711961402616,-52.75590551181102
VRME,2015-12-31,FY,-2301885,-2168180,337168,200601,1.0616669280225812,-95.19999999999999
HBCP,2015-12-31,FY,12549901,165046354,1551911600,58409654,0.07603864427080892,49.11471270615774
BOH,2015-12-31,FY,160704000,1116260000,15455016000,432110000,0.14396645942701522,40.92209418020338
AFSI,2015-12-31,FY,510522000,2909060000,17111632000,4664340000,0.17549380212164753,-11.269896451848462
FLWS,2015-12-27,Q2,56048000,258256000,635342000,704422000,0.8680998698965368,51.04895170186514
FARM,2015-12-31,Q2,4487000,102753000,254421000,275752000,0.17467129913481844,10.164235304520291
PGAI,2015-12-31,FY,-8459000,-91586000,867000,8000,0.09236127792457363,0.0
BOJA,2015-12-27,FY,26526000,167124000,560765000,462138000,0.15872047102750053,29.55466368629494
PSA,2015-12-31,FY,1317689000,9170641000,9778232000,2381696000,0.143685594060437,-11.021398218855145
ZG,2015-12-31,FY,-148874000,2679053000,3135700000,644677000,-0.055569635987044674,42.28109805851839
AMT,2015-12-31,FY,672007000,6651679000,26904272000,91128000,0.1010281764949872,9.736980648329363
SPWH,2016-01-30,FY,27771000,-2059000,303024000,729912000,-13.48761534725595,-38.21456864796917
AMG,2015-12-31,FY,833700000,2837100000,7784800000,2484500000,0.2938564026646928,-9.908614406203764
EIX,2015-12-31,FY,1117000000,13388000000,50310000000,11524000000,0.08343292500746938,22.073973816783457
PETS,2015-12-31,Q3,15149000,80875000,88583000,179292000,0.7492550231839258,34.77246910184129
INO,2015-12-31,FY,-29102837,175687225,213840859,40572111,-0.165651412616939,2.9761923909277566
IVFH,2015-12-31,FY,-27176091,-5383494,14002150,30648381,5.0480396188794865,-28.25436632417216
CUBE,2015-12-31,FY,-110890,-49640,49730,0,2.233883964544722,-13.618549843247965
FTI,2015-12-31,FY,394800000,2511800000,6437900000,5084500000,0.1571781192770125,22.543951339719136
EPC,2015-12-31,Q1,23700000,1796500000,4886500000,495100000,0.052769273587531314,-6.048239539420955
BSET,2015-11-28,FY,20433000,177366000,282543000,387405000,0.11520246270423869,-5.771687940253278
MSI,2015-12-31,FY,613000000,-106000000,8387000000,3676000000,-5.783018867924528,21.06648128741831
ATLO,2015-12-31,FY,15014651,161250057,1326747143,43150345,0.09311408181393697,36.06421569104754
GJST,2015-12-31,Q3,-174399,1679690,2898430,5057792,-0.4153123493025499,-52.8585756447312
AXGN,2015-12-31,FY,-13356425,8195591,37546053,27331092,-1.629708583554255,78.99999618530273
CGA,2015-12-31,Q2,11513207,364113049,428484753,111150271,0.12647947698243575,-20.91503281553737
CCRN,2015-12-31,FY,4954000,140848000,366097000,767421000,0.0351726684084971,-7.077485604695871
MLM,2015-12-31,FY,288938000,4057284000,6961732000,3268116000,0.07121463520916949,64.62146238364447
MSCC,2016-01-03,Q1,23700000,1219400000,2449200000,329200000,0.07774315237001804,70.52133292635193
NSIT,2015-12-31,FY,75851000,685742000,2014017000,5373090000,0.11061157111566741,62.85827420641353
MFON,2015-12-31,FY,-6133046,4874167,5933613,4618988,-1.258275721779742,0.0
PCSV,2015-12-31,Q3,-612316,-1977290,570862,2145719,1.2386974090801046,25.00000465661298
OCFC,2015-12-31,FY,20322000,238446000,2593068000,85863000,0.08522684381369366,48.47727784126613
WEYS,2015-12-31,FY,18153000,198384000,298997000,320617000,0.09150435518993467,16.778773291160686
BXC,2016-01-02,FY,-11576000,-45896000,513142000,1916585000,0.25222241589681016,40.943387195537234
BLDR,2015-12-31,FY,-22831000,149195000,2882038000,3564425000,-0.1530279164851369,0.36101048852397555
IPWR,2015-12-31,FY,-10440643,16671233,19250154,4259909,-0.6262669953686089,-60.875000953674316
BHLB,2015-12-31,FY,49518000,887189000,7831915000,247030000,0.055814488231932545,26.417033546795626
BENH,2015-12-31,FY,-219984,-322499,246821,0,0.6821230453427762,0.0
TER,2015-12-31,FY,206477000,1965786000,2548674000,1340566000,0.10503533955374593,23.70585196151013
RRTS,2015-12-31,FY,48000000,613307000,1326125000,1995019000,0.07826422982291087,11.664899257688228
JBHT,2015-12-31,FY,427235000,1300352000,3636567000,5516282000,0.32855334555566496,32.68810731737553
EA,2015-12-31,Q3,257000000,3012000000,6470000000,1802000000,0.34130146082337315,16.64726751774234
HEAR,2015-12-31,FY,-82907000,56652000,173851000,162747000,-1.463443479488809,-31.343283493569995
ZIVO,2015-12-31,FY,-5789131,-9496989,72680,0,0.6095754138495896,66.66666666666666
HLIT,2015-12-31,FY,-15661000,328168000,524957000,276876000,-0.047722507983715655,25.307117678836484
NSYS,2015-12-31,FY,-571422,22271856,56565087,115191905,-0.02565668528029276,-3.0927866092331895
RELL,2015-11-28,Q2,-2286000,144637000,168848000,34086000,-0.06322033781121013,6.039070494486052
SRC,2015-12-31,FY,114730000,3489831000,7918996000,667335000,0.0328755174677513,6.3872206305770005
NFBK,2015-12-31,FY,19531000,559779000,3202584000,101758000,0.034890555022607135,25.753771116967076
PAHC,2015-12-31,Q2,48931000,53308000,521497000,378893000,3.6715689952727546,-5.077991443455278
RMBS,2015-12-31,FY,211388000,526533000,719504000,33863000,0.40147151270670595,20.966352659048024
CSSV,2015-09-30,FY,-33174000,-50431000,43092000,16445000,0.6578096805536278,87.96993102470833
GRMN,2015-12-26,FY,456227000,3345126000,4499391000,2820270000,0.1363855950418609,36.5160929246603
PLUG,2015-12-31,FY,-55690000,124736000,209456000,78002000,-0.4464629297075423,-42.18009055612662
VRTC,2015-06-30,FY,-907475,-5106433,332193,945807,0.17771211332842318,-20.000004967053535
