Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
FORR,2022-03-31,Q1,4148000,202430000,651902000,124971000,0.08196413575062984,-43.58383382361413
GEF,2022-04-30,Q2,135400000.0,1718400000.0,5622900000.0,3231600000.0,0.31517690875232773,4.580279743614735
CNMD,2022-03-31,Q1,14975000,789546000,1785724000,242327000,0.07586638397256144,-30.609222676932873
CVGI,2022-03-31,Q1,3982000,134401000,565788000,244374000,0.11851102298345995,-15.384612346053544
CAPC,2022-03-31,Q1,-461304,1664246,3699490,262979,-1.1087399338799673,-77.96610152368673
QTWO,2022-03-31,Q1,-23559000,446187000,1364104000,134071000,-0.21120292612738606,-61.39497380698362
AIV,2022-03-31,Q1,10112000,510381000,2593844000,49994000,0.07925059906226917,0.4098324080282439
VTOL,2022-03-31,FY,-15791000,835815000,1824279000,1185204000,-0.018892936834108025,-40.048547884324556
SFRX,2022-03-31,Q1,-748424,-1398912,253139,3089,2.140017384939153,100.0
CAR,2022-03-31,Q1,529000000,-992000000,23573000000,2432000000,-2.1330645161290325,-28.689706338129216
EBMT,2022-03-31,Q1,2216000,143523000,1492053000,12768000,0.06176013600607568,-35.73667518809336
LFMD,2022-03-31,Q1,-13274949,12132057,50290476,29042837,-4.376817220690605,-57.50708180857447
DIBS,2022-03-31,Q1,-6360000,152594000,209595000,26587000,-0.16671690892171384,-50.31288933247809
VTGN,2022-03-31,FY,-47762400,64715300,74643400,1108900,-0.738038763630857,-88.70967816363759
RJF,2022-03-31,Q2,769000000,8609000000,73101000000,5529000000,0.3573004994772912,-16.122282440439914
FIVE,2022-04-30,Q1,32718000,1114942000,2960780000,639596000,0.11738009690190163,21.422424487813384
CIRX,2022-03-31,Q1,-296503,-40861457,1762631,691768,0.02902520093691226,-50.90908936971474
MXCT,2022-03-31,Q1,-4067300,262184800,290955200,11587300,-0.06205241493786062,-32.7610877945237
ADMA,2022-03-31,Q1,-25007857,126933065,308032492,29103093,-0.78806438653317,72.6775962691532
BCBP,2022-03-31,Q1,9952000,276159000,3040310000,27724000,0.14414884179041784,-27.561642372444883
DIN,2022-03-31,Q1,24850000,-265172000,1888283000,230423000,-0.3748510400796464,-15.060934346879758
MED,2022-03-31,Q1,41781000,216024000,421435000,417600000,0.7736362626374848,-42.23562347405407
NRIS,2022-02-28,FY,-498947,-3785660,387068,452291,0.13179921070566294,-36.846154216478574
KMI,2022-03-31,Q1,684000000,30618000000,69135000000,4293000000,0.08935920047031158,-8.514017045705561
GCAN,2021-12-31,FY,-602226,-469062,392937,12630,1.28389423999386,-82.25806512182788
AIN,2022-03-31,Q1,27737000,860220000,1580061000,244169000,0.12897630838622678,5.19449391516877
RMBL,2022-03-31,Q1,9141000,469176000,1220807000,459920000,0.0779323750575477,-82.72434958908093
MMS,2022-03-31,Q2,103426000,1554216000,4107696000,2328202000,0.2661817919774343,3.002001456456056
MLP,2022-03-31,Q1,-618000,23626000,40225000,2248000,-0.10463049183103361,7.92079335404864
TRN,2022-03-31,Q1,1900000.0,1295600000.0,8291200000.000001,472700000.0,0.005866008027168879,-30.44237720027871
DCGO,2022-03-31,Q1,9372437,240264309,325196304,117891552,0.156035443449905,-7.1351334855363175
AUUD,2022-03-31,Q1,-1753258,7915053,8184393,0,-0.8860372760611963,-63.137256397920495
PMTS,2022-03-31,Q1,6002000,-114057000,285735000,111424000,-0.21049124560526755,207.17242010708512
UTGN,2022-03-31,Q1,9219037,142920686,424703814,18962381,0.25801826895793095,-6.441168969257577
VRRM,2021-12-31,FY,41449000,259964000,1837056000,550590000,0.15944130725792802,-10.369412506965594
STC,2022-03-31,Q1,57897000,1324788000,2760987000,852916000,0.1748113660449823,-34.8787315241141
TPX,2022-03-31,Q1,130900000.0,-100700000.0,4321900000.0,1239500000.0,-5.199602780536246,38.93266765591021
SJM,2022-04-30,FY,631700000.0,8140100000.0,16055000000.0,7998900000.0,0.07760346924484957,14.437124467305049
CRTO,2022-03-31,Q1,21278000,1168475000,1915340000,510567000,0.07284024048439205,12.151246305999921
FMBM,2022-03-31,Q1,2528,87985,1238259,9061,0.11492868102517474,-29.13907590097905
BIG,2022-04-30,Q1,-11082000,980328000,4051757000,1374714000,-0.04521751903444561,-72.42331229476986
MOTS,2022-03-31,Q1,-4811000,8607000,24425000,20000,-2.2358545370047636,-87.22222204561587
DRVN,2022-03-26,Q1,34443000,1677827000,5878111000,468323000,0.08211335256853061,4.604529361553122
CMS,2022-03-31,Q1,345000000,7405000000,28740000000,2374000000,0.1863605671843349,-12.510728494794906
CMGR,2022-03-31,Q1,-3498152,-11253058,855146,813477,1.243449380603921,-99.2857143258063
MTSI,2022-04-01,Q2,0,554283000,1286493000,324767000,0.0,21.280596683701642
GKOS,2022-03-31,Q1,5377000,597564000,1052070000,67681000,0.03599279742420895,-14.821860498196035
WATT,2022-03-31,Q1,-7152718,40732683,44402052,215961,-0.7024057806356631,-58.08333158493042
AGX,2022-01-31,FY,35706000,325595000,553585000,509370000,0.10966384618928424,2.42260477581595
SCYX,2022-03-31,Q1,-5451000,38927000,111562000,687000,-0.5601253628586842,-24.80818433036302
PSTG,2022-05-08,Q1,-11535000,727094000,2828352000,620405000,-0.06345809482680369,-11.597036899337871
ASCK,2021-12-31,FY,-3064028,-1483020,60592,0,2.066073282895713,-83.59133131844717
CASS,2022-03-31,Q1,8258000,217078000,2422043000,29997000,0.15216650236320586,16.87889343806956
BXP,2022-03-31,Q1,176957000,5843602000,22475634000,754307000,0.12112871478926868,-58.61801399519988
TTOO,2022-03-31,Q1,-16495000,-25651000,49039000,7234000,2.5722194066508126,-98.2442748091603
ALLE,2022-03-31,Q1,93000000.0,745000000.0,3007600000.0,723600000.0,0.4993288590604027,-4.317724463906111
QRON,2022-03-31,Q1,-264128,-1366873,7817,0,0.7729408657570966,-19.999998807907104
FTV,2022-04-01,Q1,165100000.0,9561400000.0,16266400000.0,1376500000.0,0.06906938314472776,12.43608274451325
TLCC,2022-03-31,Q1,276000,-116813000,23813000,13251000,-0.009451002884952873,0.0
VIVK,2021-12-31,FY,-8305913,22540629,47744245,1088428,-0.3684863008924906,-86.75818492099273
DTM,2022-03-31,Q1,81000000,4038000000,8211000000,215000000,0.08023774145616643,-10.007365754605283
YUMM,2022-03-31,Q2,-20355,19705,19705,0,-4.131946206546562,-53.27190181295445
BWXT,2022-03-31,Q1,59074000,659954000,2569107000,530738000,0.35804919736830143,16.097285686400443
HTCR,2022-03-31,Q1,-1578451,12009109,20416939,2276001,-0.525751244326286,-65.27777915751487
AMHG,2022-03-31,Q1,-27000,-4837000,26504000,5650000,0.022327889187512922,-56.62162085969228
HA,2022-03-31,Q1,-122809000,422093000,4488162000,477214000,-1.1638098712842904,-55.58375806532504
EFOI,2022-03-31,Q1,-2821000,3432000,12549000,2061000,-3.287878787878788,-63.23529588545651
ORLY,2022-03-31,Q1,481880000,-328273000,11760389000,3296011000,-5.871698251150719,22.853885337207732
CHSCP,2022-02-28,Q2,670839000,9368444000,20747301000,21213345000,0.28642493886925086,-5.296949081016149
SCWX,2022-04-29,Q1,-21598000,625303000,934886000,121015000,-0.13816021992538016,-17.844205378947763
WABC,2022-03-31,Q1,22616000,701744000,7306417000,43759000,0.12891310791399713,-27.206610056979596
MLKN,2022-02-26,Q3,-46600000.0,1455900000.0,4517700000.0,2845500000.0,-0.12803077134418572,-39.24897070385185
QPRC,2021-12-31,FY,-4154799,-7926951,816626,2050000,0.5241358247326116,-91.11176526232984
