Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
CCI,2020-03-31,Q1,-790050,93300047,188199357,1611292,-0.03387136557391016,18.41413623309513
WIRE,2020-03-31,Q1,18607000,777172000,866346000,302794000,0.09576773223945279,60.72873342698525
STQN,2019-12-31,FY,-87464,66365,66365,0,-1.3179236043095004,63.17991537885923
VRA,2020-05-02,Q1,-15537000,275574000,551397000,69284000,-0.22552200134990966,116.37427161499072
PRKR,2020-03-31,Q1,-7921000,-36275000,3956000,0,0.8734390075809786,275.75756371623385
DCO,2020-03-28,Q1,7930000,302427000,841837000,173475000,0.10488481517853895,130.37612666916405
HNI,2020-03-28,Q1,-23896000,551332000,1369899000,468704000,-0.17336922217466064,60.44444074534406
PURE,2020-04-30,Q3,-1318000,3295000,4786000,2968000,-1.6,0.0
FHI,2020-03-31,Q1,63265000,1042933000,1925909000,359183000,0.2426426242145948,65.30184268908734
TLSS,2019-12-31,FY,-44864462,-12886424,4327688,31356251,3.481529243489117,-99.68874999321997
ALPN,2020-03-31,Q1,-5533000,24859000,49849000,1091000,-0.8903012993282111,253.12498861716898
MRC,2020-03-31,Q1,9000000,617000000,2301000000,794000000,0.05834683954619125,112.20656047302245
KRNY,2020-03-31,Q3,31276000,1069672000,6773833000,175857000,0.11695547794090151,43.655412495775636
SSNT,2020-03-31,Q1,-292115,8605944,17741507,10079524,-0.13577360020004778,271.05264627372145
TMUS,2020-03-31,FY,951000000,28977000000,87226000000,11113000000,0.03281913241536391,48.557803483714245
TDC,2020-03-31,Q1,168000000,349000000,2151000000,434000000,1.9255014326647564,87.50609369503515
CPK,2020-03-31,Q1,28930000,584129000,1788219000,152710000,0.19810692501142727,35.44510276272031
HMMR,2020-01-31,Q2,-340216,-4835888,5755868,1262214,0.2814093295791797,15.000002292486423
CVR,2020-03-31,Q1,56568,29002046,31806560,7576455,0.007801932318843988,19.056598409379262
BBVA,2020-03-31,Q1,-2237285000,11328390000,94325559000,798383000,-0.7899745683190639,72.54902969090512
PBYI,2020-03-31,Q1,-16933000,9377000,225529000,51217000,-7.223205716113895,11.137447639718097
SNX,2020-02-29,Q1,122584000,3855688000,11727054000,5264198000,0.12717211558611588,37.37001053692225
MG,2020-03-31,Q1,-98522000,171572000,583545000,159465000,-2.2969249061618444,163.1455266632549
AEIS,2020-03-31,Q1,18078000,685397000,1522550000,315456000,0.10550381749555367,118.56052730143887
EGP,2020-03-31,Q1,23298000,1190631000,2604762000,88628000,0.07827110162594456,38.428407576438346
SMIT,2020-02-29,Q3,4556656,12559241,13731417,3222846,1.4512520302779444,89.03654735044482
RARE,2020-03-31,Q1,-119025000,609146000,1233140000,36309000,-0.7815860237118851,152.21696328806811
ALSN,2020-03-31,Q1,139000000,693000000,4424000000,637000000,0.8023088023088023,26.89359182342292
VLGEA,2020-04-25,Q3,15724000,327008000,590096000,1303116000,0.19233780213328114,4.95133354992463
THC,2020-03-31,Q1,159000000,-358000000,23823000000,4520000000,-1.776536312849162,269.0972425963413
BIG,2020-05-02,Q1,49323000,883933000,3321786000,1439149000,0.22319791205894565,176.091326941029
XYL,2020-03-31,Q1,38000000,2812000000,7591000000,1123000000,0.05405405405405406,61.03178516242599
AOSL,2020-03-31,Q3,-16317000,289879000,767295000,342514000,-0.22515601337109623,393.4477365633088
REX,2020-01-31,FY,11644000,401007000,500502000,418034000,0.029036899605243797,1.5262105012717218
LMB,2019-12-31,FY,-1775000,46870000,261617000,553334000,-0.03787070620866226,228.04232043343742
HY,2020-03-31,Q1,15600000.0,510400000.0,1848700000.0,785700000.0,0.12225705329153605,114.44250659388833
TROX,2020-03-31,Q1,40000000,553000000,5130000000,722000000,0.28933092224231466,266.66666985834775
WSBC,2020-03-31,Q1,23396000,2586060000,15995572000,142448000,0.03618786880428142,52.74261433588939
NVT,2020-03-31,Q1,18600000.0,2576600000.0,4730200000.0,520900000.0,0.028875261973142902,65.14522361824356
MPB,2020-03-31,Q1,3818000,239511000,2299751000,23699000,0.06376325095715854,38.76543398256655
TER,2020-03-29,Q1,176191000,1550673000,2820388000,704355000,0.4544891153711969,115.45979910688852
APYX,2019-03-31,Q1,-5608000,82831000,91856000,5629000,-0.27081648175200107,-47.76978109263087
ALGN,2020-03-31,Q1,1518131000,2852989000,3964840000,550963000,2.1284778875768535,201.42571215212791
CNBX,2020-02-29,Q2,-6010061,3151492,3571134,3064,-7.628210384160899,28.124996895591543
NWL,2020-03-31,Q1,-1279000000,3454000000,13903000000,1886000000,-1.4811812391430226,101.05422665521205
UAVS,2019-12-31,FY,-2522694,4273634,4795509,296677,-0.5902924770815657,1255.5555555555554
FBP,2020-03-31,Q1,2266000,2199751000,13047977000,165264000,0.004120466361874594,109.02254749526502
COOP,2020-03-31,Q1,-171000000,2070000000,17613000000,278000000,-0.33043478260869563,376.534797663615
FVTI,2019-12-31,FY,-377756,-760504,193037,275219,0.4967179659804551,-32.11920701287865
HASI,2020-03-31,Q1,24410000,1036555000,2524487000,40834000,0.09419664176044687,171.97451610256434
INN,2020-03-31,Q1,-16214000,1118202000,2423120000,108385000,-0.05800025397915582,146.2085511822003
CASA,2020-03-31,Q1,1162000,38921000,418858000,83623000,0.11942139205056396,171.42857142857142
ATRI,2020-03-31,Q1,8898000,234997000,260430000,43594000,0.15145725264577845,-0.6876878004807692
EPC,2020-03-31,Q2,41900000.0,1347300000.0,3308500000.0,977000000.0,0.12439694203221258,66.94352529197364
PHR,2020-04-30,Q1,-6112000,99914000,161300000,33396000,-0.2446904337730448,106.81370454440284
POAI,2019-12-31,FY,-19390766,11231318,22375510,1411565,-1.7264906932561255,-73.75479002101518
IART,2020-03-31,Q1,9180000,1341803000,3447565000,354324000,0.027366163289245887,54.063135249170536
AFL,2020-03-31,Q1,566000000,26402000000,151616000000,5162000000,0.085751079463677,51.3726614787232
AXIM,2019-12-31,FY,-6447557,-6760397,1691899,799483,0.9537246111433988,26.027396253627717
DOMO,2020-01-31,FY,-125656000,-49180000,216738000,173395000,2.5550223668157788,161.72585130791592
KTCC,2020-03-28,Q3,3286000,112940000,288403000,333462000,0.11638037896228086,187.81361443596316
MYFW,2020-03-31,Q1,1334000,128703000,1353863000,11512000,0.041459795031972835,102.1923582631932
LYFT,2020-03-31,Q1,-398073000,2607489000,5571758000,955712000,-0.6106610612738922,134.82308506994997
GDEN,2020-03-31,Q1,-32620000,258851000,1902268000,207157000,-0.5040737721700901,287.74581910847326
REKR,2020-03-31,Q1,-3788000,-10350000,29122000,1595000,1.4639613526570048,434.32432981021554
SWKS,2020-03-27,Q1,438100000.0,4142800000.0,4981900000.0,1662200000.0,0.42299893791638504,109.18590003031083
KLXE,2020-04-30,Q1,-243100000,68100000,378200000,83000000,-14.279001468428781,28.461544330303486
IVR,2020-03-31,Q1,-1616192000,1410381000,9777247000,186699000,-4.583703268833031,18.768333760296045
JOB,2020-03-31,Q2,-8991000,1974000,121198000,72237000,-18.21884498480243,280.55554175818463
FMC,2020-03-31,Q1,206200000.0,2675400000.0,10189200000.0,1250000000.0,0.30829034910667563,35.904019249721124
SUI,2020-03-31,Q1,-15478000,3724862000,8209047000,310302000,-0.016621286909421072,20.000007333018463
NEM,2020-03-31,Q1,824000000,21806000000,39699000000,2581000000,0.15115105934146564,32.24382217848875
PBI,2020-03-31,Q1,-208483000,29430000,4893430000,796268000,-28.336119605844377,294.1176525586755
PCAR,2020-03-31,Q1,359400000.0,9637400000.0,27294700000.0,5161700000.0,0.14916886297134083,52.658266095629024
BLNK,2019-12-31,FY,-9648500,7434446,11947493,2759190,-1.2978102201562833,2072.3117456207087
BKTI,2020-03-31,Q1,-1192000,21642000,35712000,10889000,-0.22031235560484244,153.61444281119742
SSKN,2020-03-31,Q1,-1035000,28048000,46047000,6730000,-0.14760410724472334,76.84210196096146
VSAT,2020-03-31,FY,13813000,2027787000,4883868000,2309238000,0.006811859430995464,34.15924577738904
INPX,2020-03-31,Q1,-6168000,5100000,20938000,1804000,-4.83764705882353,-1.6806752462678938
AGM,2020-03-31,Q1,12830000,693617000,23180110000,149854000,0.07398895932481471,81.30504884739298
VISL,2020-03-31,Q1,-4430000,10777000,21774000,5352000,-1.6442423680059386,187.03703196778065
XRAY,2020-03-31,Q1,-139900000.0,4687500000.0,8058400000.0,874300000.0,-0.11938133333333334,63.63635827776496
TACT,2020-03-31,Q1,-992000,25505000,35787000,10247000,-0.1555773377769065,251.7684871190717
IAC,2020-03-31,Q1,-182643000,2424410000,8434749000,1228765000,-0.3013401198642144,251.01492122906825
TJX,2020-05-02,Q1,-887489000,4739218000,25415240000,4408888000,-0.7490594439842185,48.84695778697659
LGIH,2020-03-31,Q1,42839000,859605000,1719044000,454727000,0.1993427213662089,231.69432878312767
NTRA,2020-03-31,Q1,-35372000,258927000,558639000,94012000,-0.5464397301169828,225.351639451072
APTO,2020-03-31,Q1,-11526000,87237000,92557000,0,-0.5284913511468757,4.7138001729618395
APPF,2020-03-31,Q1,1983000,124875000,293427000,72495000,0.06351951951951952,24.64172788634203
ANIX,2020-04-30,Q2,-5274565,5287154,5924895,0,-3.9904757833798676,152.38095328200524
GWTI,2020-03-31,Q1,-562749,-7349730,448132,0,0.30626920988934286,-50.0
CZWI,2020-03-31,Q1,2606000,147933000,1505164000,16908000,0.07046433182589415,96.74418535880703
SNDR,2020-03-31,Q1,43800000.0,2268500000.0,3714900000.0,1119100000.0,0.07723165087061935,30.972077165762794
RLJ,2020-03-31,Q1,-30829000,3049063000,6069225000,265481000,-0.040443900306422004,104.01554958603182
CCNE,2020-03-31,Q1,8813000,324802000,3779138000,40090000,0.10853381444695538,32.00847238766784
CIO,2020-03-31,Q1,1006000,525363000,1298217000,40122000,0.007659465931175206,45.366531136312176
PLBC,2020-03-31,Q1,3316000,90227000,879571000,9599000,0.14700699347202056,58.97297214817356
