Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
MEEC,2018-06-30,Q2,-3612013,-7562679,7557976,4474770,1.9104409958428752,23.809523133734164
ADGO,2018-06-30,Q2,-488478,-664261,228812,115244,2.941482339020355,-85.39822944665684
KRO,2018-06-30,Q2,148400000,853600000,1930400000,902200000,0.6954076850984068,-29.627931223305225
ADP,2018-06-30,FY,1620800000,3459600000,37088700000,8985200000,0.4684934674528847,22.593801781700655
BCO,2018-06-30,Q2,-82100000,223000000,2870400000,1728800000,-1.472645739910314,0.5325081178647445
DOC,2018-06-30,Q2,23394000,2427088000,4218265000,212212000,0.0385548443237328,25.166342454715213
USAQ,2017-03-31,Q1,-2879,-486407,0,0,0.023675646115290282,2100.000037252904
RMBS,2018-06-30,Q2,-51046000,1105485000,1525773000,15400000,-0.18470083266620532,-4.368547927474092
IPAS,2018-06-30,Q2,-8536000,-2220000,20200000,21962000,15.38018018018018,-2.985071865055365
STC,2018-06-30,Q2,23759000,660308000,1357899000,930099000,0.14392677356627515,-6.597455354840777
TSBK,2018-06-30,Q3,12299000,120894000,1006383000,30781000,0.406935000909888,-20.320002237955727
NFX,2018-06-30,Q2,205000000,1640000000,5461000000,1259000000,0.5,-42.48652453063672
TER,2018-07-01,Q2,188010000,1739940000,2931720000,1014396000,0.43222180075175004,25.05872652046947
PPCB,2018-06-30,FY,-7039155,-6751920,71387,0,1.0425412327160275,-77.77777777777779
VIDE,2018-05-31,Q1,54000,4634000,8587000,4021000,0.0466119982736297,18.18181128541315
INND,2018-06-30,Q2,-2550969,-2830834,1488858,105991,3.604547635078567,66.66665953009532
NBR,2018-06-30,Q2,-339461000,3063034000,8300288000,1496114000,-0.44330033554965437,-53.3011272141707
OSK,2018-06-30,Q3,320600000,2420400000,5273900000,5648500000,0.5298297802016195,18.107221644210554
TCMD,2018-06-30,Q2,2522000,78769000,92733000,60981000,0.1280706877070929,6.972372013355814
SHO,2018-06-30,Q2,89717000,2634722000,3845613000,588893000,0.13620715961684002,-16.50426324942277
INFN,2018-06-30,Q2,-48218000,637412000,940980000,410908000,-0.30258608247099206,-70.7243439771003
BSRR,2018-06-30,Q2,14702000,260238000,2425443000,48360000,0.22597775882077176,-5.17482350523057
SHOO,2018-06-30,Q2,61643000,823622000,1087642000,784767000,0.29937519881693303,-4.9906701828780795
EL,2018-06-30,FY,1117000000,4688000000,12567000000,13683000000,0.2382679180887372,28.282186887768372
