Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
KR,2013-02-02,FY,1508000000,4207000000,24652000000,96751000000,0.358450202044212,30.466203016202677
ERIE,2013-03-31,Q1,290000000,636000000,15791000000,1571000000,1.8238993710691824,-9.226901159952769
NVDA,2013-04-28,Q1,77891000,4824936000,6279527000,954739000,0.06457370626263229,38.0250549996711
ZTS,2013-03-31,Q1,140000000,709000000,6142000000,1090000000,0.7898448519040903,-10.984964427567748
GD,2013-03-31,Q1,571000000,11582000000,34609000000,4459000000,0.19720255568986358,58.010550413326015
IVAC,2013-03-30,Q1,-8264000,136043000,163956000,8885000,-0.24298199833876055,92.37471961144941
FMNB,2013-03-31,Q1,2005000,120576000,1143099000,10266000,0.06651406581740976,20.03154495837227
QCRH,2013-03-31,Q1,3265144,142198431,2143990652,18537482,0.09184753944296334,4.478536710144077
EGBN,2013-03-31,Q1,11572000,361852000,3324865000,37933000,0.1279197019776041,83.40207490040248
MDRX,2013-03-31,Q1,-11592000,1334291000,2622813000,27031000,-0.03475104006547297,33.63028688321186
BFIN,2013-03-31,Q1,678000,173639000,1466135000,12713000,0.015618611026324732,25.75757502779744
LTUM,2012-12-31,FY,-755565,1359138,1412339,0,-0.5559148519134922,-52.272727657571316
LGND,2013-03-31,Q1,1495000,30596000,98363000,1539000,0.19545038567132958,139.24384423568557
HWBK,2012-12-31,FY,2822000,92220000,1181606000,49114000,0.030600737367165474,67.92534225674216
ITEX,2013-04-30,Q3,864000,11628000,13603000,11146000,0.29721362229102166,5.235603434001524
STBA,2013-03-31,Q1,12330000,544614000,4479863000,37843000,0.09055955227004814,26.914660237886434
CCFN,2013-03-31,Q1,1697000,75226000,616529000,5197000,0.09023475925876692,-2.985070609686992
AVT,2013-03-30,Q3,323982000,4083702000,10211498000,18868221000,0.3173414710475936,28.849955525738373
NOV,2013-03-31,Q1,500000000,20549000000,33556000000,5307000000,0.09732833714535988,11.322925104396681
FCNCA,2013-03-31,Q1,55585000,1918581000,21351012000,220604000,0.11588773160997633,32.095088323002514
BBW,2013-03-30,Q1,13000,82023000,169873000,102931000,0.0006339685210245907,71.32216024818975
MCO,2013-03-31,Q1,188400000,457100000,3911200000,731800000,1.648654561365128,46.9963976159335
PEP,2013-03-23,Q1,1085000000,22476000000,75355000000,12581000000,0.19309485673607404,5.53770712732276
CBOE,2012-03-31,Q1,33417000,231202000,353441000,121392000,0.5781437876834975,33.86517872349457
IMMR,2013-03-31,Q1,2253000,49703000,85787000,19000,0.18131702311731687,-6.356311846888913
HRL,2013-04-28,Q2,257686000,3009859000,4667641000,4268927000,0.3424559090641788,15.543160976055562
OVLY,2013-03-31,Q1,1299431,64098244,648418314,6083045,0.08108995934428406,17.199011787250033
AMP,2013-03-31,Q1,365000000,8960000000,137296000000,2699000000,0.16294642857142858,49.32069913184885
MHK,2013-03-30,Q1,50567000,3723218000,7261845000,1486815000,0.05432612326218878,19.930568025215987
DCI,2013-04-30,Q3,174768000,1081533000,1757608000,1804354000,0.6463714005952662,15.090702865814828
STRL,2013-03-31,Q1,-4419000,203722000,316147000,111035000,-0.0867652978077969,-19.20590894144968
