Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
VHI,2018-03-31,Q1,107800000,518400000,2997700000,466000000,0.8317901234567902,-60.7142853281202
VSH,2018-03-31,Q1,62545000,1512895000,3570510000,716795000,0.16536507821097962,2.32687032712774
JWHI,2017-11-30,Q2,-10166,-34004,0,0,1.195859310669333,0.0
TYL,2018-03-31,Q1,37825000,1261214000,1625624000,221174000,0.11996378092853394,0.03425442411905753
BKE,2018-02-03,FY,89707000,391248000,538116000,913380000,0.22928423915266022,-10.412373698369718
AGYS,2018-03-31,FY,-8350000,108431000,157207000,33699000,-0.07700749785577925,78.6497839223553
PB,2018-03-31,Q1,74361000,3876145000,22472314000,171018000,0.07673706736977073,-2.6089493836878366
ABMC,2017-12-31,FY,-545000,623000,2891000,4914000,-0.8747993579454254,-9.999997764825855
LOW,2018-02-02,FY,3447000000,5873000000,35291000000,68619000000,0.5869232079005618,-4.325122551377771
FICO,2018-03-31,Q2,59574000,370703000,1290895000,493179000,0.6428218816680739,66.47055704540016
FHB,2018-03-31,Q1,67958000,2520862000,20242942000,154936000,0.10783295555250545,-5.1347410576186014
TRN,2018-03-31,Q1,41600000,4477700000,9477000000,831300000,0.0371619358152623,-4.725475990945858
SEDG,2018-03-31,Q1,35686000,440211000,731561000,209871000,0.32426268312241174,-30.351198950217846
MTCH,2018-03-31,Q1,99678000,538305000,2201563000,407367000,0.7406804692507036,32.4210540593019
WDFC,2018-02-28,Q2,27448000,154342000,394000000,198853000,0.7113553018620985,44.33039304904018
INCY,2018-03-31,Q1,-41140000,1628044000,2306012000,382282000,-0.10107834923380449,6.765149879346463
IRBT,2018-03-31,Q1,20401000,496628000,649437000,217068000,0.16431614810280532,85.04717808962596
UONE,2018-03-31,Q1,-22522000,17323000,1305558000,99621000,-5.200484904462275,41.71428680419922
FMAO,2018-03-31,Q1,3767000,134877000,1123742000,11136000,0.11171660105132825,-25.734021001636187
ITT,2018-03-31,Q1,101300000,1658600000,3871500000,689300000,0.24430242373085734,22.20817766297784
UEEC,2018-03-31,Q1,-3990040,-100705,781128,29928,158.48428578521424,0.0
MEDP,2018-03-31,Q1,14551000,511073000,973024000,163077000,0.11388588322998867,73.28828485465364
COF,2018-03-31,Q1,1346000000,49203000000,362857000000,6637000000,0.10942422210027844,-12.863997395833332
MCOA,2018-03-31,Q1,4150799,-4777412,1079409,19010,-3.475353601489677,-39.816680458823484
WNEB,2018-03-31,Q1,3519000,242623000,2085531000,18732000,0.05801593418595929,-12.924535754058558
NDAQ,2018-03-31,Q1,177000000,5725000000,15790000000,1151000000,0.12366812227074236,2.291594734112191
ISTR,2018-03-31,Q1,2402000,173430000,1644188000,17178000,0.055399873147667644,-8.977962364610741
WTM,2018-03-31,Q1,-66600000,3439000000,3587000000,42100000,-0.07746437917999419,13.187788520150745
WTW,2018-03-31,Q1,39059000,-1000101000,1307114000,328669000,-0.15622022175760247,17.893809933810306
MSVB,2018-03-31,Q1,321000,23861000,184008000,1657000,0.053811659192825115,4.331955853953833
QTXB,2017-12-31,FY,869139,-749551,1390803,0,-1.1595461816474129,-39.13043624972052
JBL,2018-05-31,Q3,144149000,2173141000,11175510000,16323585000,0.2653283887239714,-9.441301313527843
ALSN,2018-03-31,Q1,151000000,706000000,4260000000,663000000,0.8555240793201133,17.040117037055737
BOOM,2018-03-31,Q1,3920000,111357000,198419000,67313000,0.14080839103064918,95.81853507952665
CPSS,2018-03-31,Q1,3145000,187324000,2438977000,103563000,0.06715637078003886,-7.671956720846343
JOUT,2018-03-30,Q2,21855000,261245000,383926000,282357000,0.3346284139409367,15.431900618928774
AZZ,2017-11-30,Q3,21682000,543776000,1029257000,609770000,0.1594921438239275,-0.8939715567914859
KALU,2018-03-31,Q1,25700000,753600000,1405400000,388000000,0.13641188959660297,5.830643013179131
ANCX,2018-03-31,Q1,8086000,426653000,2833848000,26608000,0.07580867824672509,-15.70867398277748
PESI,2018-03-31,Q1,96000,28253000,57982000,12658000,0.013591477011290836,-17.41176493027631
GBR,2018-03-31,Q1,-134000,502000,4096000,204000,-1.0677290836653386,69.69696367629875
ANY,2018-03-31,Q1,-6823000,8055000,78587000,17419000,-3.3882060831781504,-68.08510746228421
DRI,2018-02-25,Q3,421500000,2124900000,5454700000,5946000000,0.793449103487223,16.029902917696877
SNBR,2018-03-31,Q1,20548000,35997000,458701000,388633000,2.28330138622663,38.19465545295915
AIRI,2018-03-31,Q1,-1468000,17559000,62606000,12242000,-0.3344153995102227,-22.222225685091882
GCBC,2018-03-31,Q3,10789000,92667000,1173788000,28385000,0.4657105549980036,-17.387753441220237
QCOM,2018-03-25,Q2,-5590000000,23819000000,64126000000,11329000000,-0.9387463789411814,1.2292866801688689
VLGEA,2018-04-28,Q3,19070000,298402000,464323000,1198464000,0.2556283134831536,6.213230070977209
ACGL,2018-03-31,Q1,166384000,9150372000,32131955000,1283955000,0.072733217840761,13.802817355448996
PRTA,2018-03-31,Q1,-48743000,409505000,606647000,227000,-0.4761162867364257,-65.57888894241204
AQB,2018-03-31,Q1,-2449787,26333566,31487566,19097,-0.37211625649180974,-24.22145360691181
OVBC,2018-03-31,Q1,3366000,111211000,1096421000,12709000,0.12106716062260028,-13.723149858237116
DSKE,2018-03-31,Q1,-797000,434381000,1210394000,327581000,-0.00733917919982688,-45.56149791527823
NBIO,2018-03-31,FY,-2221589,-86379,116994,0,25.71908681508237,-33.99999737739563
SLGD,2018-03-31,Q1,-196300,21133000,24436700,7428000,-0.03715516017602801,-25.373132203888744
CREG,2017-12-31,FY,-9325406,204754053,287267296,0,-0.04554442690323693,-75.8992806002193
ALGT,2018-03-31,Q1,55193000,599804000,2288965000,425444000,0.36807357069976193,-23.953009561995227
ADMG,2018-03-31,Q1,-1427013,-23746232,41223780,0,0.24037716804922987,125.00001396983893
X,2018-03-31,Q1,18000000,3438000000,10026000000,2821000000,0.020942408376963352,-43.045005622832356
FISI,2018-03-31,Q1,9288000,380302000,4152432000,35403000,0.09769078258857435,-7.551018170610002
THST,2018-03-31,Q3,-1658000,9845000,32202000,18954000,-0.6736414423565261,-18.47826234841389
PED,2018-03-31,Q1,-4234000,-41191000,35831000,644000,0.4111577771843364,805.537416911468
CSCO,2018-04-28,Q3,-3693000000,46661000000,114008000000,27067000000,-0.31658129915775485,26.16843511629874
EVTC,2018-03-31,Q1,23114000,175345000,916829000,110274000,0.5272805041489634,72.73291184483612
MAC,2018-03-31,Q1,-34381000,3157760000,9157273000,236734000,-0.04355112484799351,-21.73677748365789
CZFS,2018-03-31,Q1,4247000,129850000,1382483000,13383000,0.1308278783211398,-0.553843865442715
EKSO,2018-03-31,Q1,-7901000,14839000,30959000,2518000,-2.1297931127434464,66.22517509923898
GWRE,2018-04-30,Q3,-103091000,1319867000,1832533000,412428000,-0.3124284492301118,26.424013099260655
CHDN,2018-03-31,Q1,182000000,343600000,1601000000,189300000,2.118742724097788,13.701454271877992
JNP,2018-03-31,Q1,772000,51020000,64539000,10074000,0.06052528420227362,7.476637429863714
CVON,2018-03-31,Q1,8806000,-109586000,985994000,141454000,-0.3214279196247696,35.36452827416176
ETN,2018-03-31,Q1,487000000,17263000000,32668000000,5251000000,0.11284249551062966,3.6941627326528255
BHF,2018-03-31,Q1,-65000000,13608000000,218997000000,1815000000,-0.019106407995296885,-27.31824415437567
FGBI,2018-03-31,Q1,3601000,140003000,1731776000,18303000,0.10288350963907916,-19.827923506515486
TTGT,2018-03-31,Q1,2094000,122750000,168535000,27299000,0.06823625254582484,-15.08350424146158
GLXZ,2018-03-31,Q1,536798,6166144,18797067,339,0.3482228115334316,53.84616178168377
RWLK,2018-03-31,Q1,-6327000,-1499000,17720000,1579000,16.883255503669112,-79.41904703776042
AGX,2018-01-31,FY,72346000,358085000,603393000,892815000,0.20203582948182694,-3.2798173284904175
WRLD,2018-03-31,FY,53690018,541107852,840987037,548706134,0.09922239679493691,12.994398143391395
CAMP,2018-05-31,Q1,8511000,202441000,493422000,76916000,0.16816751547364417,-48.91611511466133
ITIC,2018-03-31,Q1,4173000,179980000,244681000,33776000,0.09274363818202022,-21.191857947954855
UUP,2018-03-31,Q1,-7637340,500822145,501143854,1503003,-0.060998420906487674,10.296611296175112
MDB,2018-04-30,Q1,-29164000,172507000,400227000,48222000,-0.6762392250749245,282.05055178496343
FHN,2018-03-31,Q1,94994000,4277097000,40463195000,363355000,0.08883969664471018,-24.473261105514094
IPGP,2018-03-31,Q1,106334000,2145369000,2498007000,359864000,0.19825773561564466,-32.51822869690334
AUMN,2018-03-31,Q1,-735000,7341000,12334000,1637000,-0.4004903964037597,-35.714285714285715
CFR,2018-03-31,Q1,106480000,3243430000,31459232000,243326000,0.13131777161831765,-5.812146328029919
OMI,2018-03-31,Q1,8151000,1018918000,3391554000,2372579000,0.031998649547853704,-72.82968944218712
MYO,2018-03-31,Q1,-2345402,13924072,15086166,313179,-0.6737689951617601,-58.041959534333074
KEY,2018-03-31,Q1,418000000,14944000000,137049000000,1137000000,0.11188436830835118,-17.235946233818485
MWA,2018-03-31,Q2,65300000,530600000,1234300000,411500000,0.49227289860535245,-1.083740500604808
PZZA,2018-04-01,Q1,17380000,-265493000,579817000,427369000,-0.26185247821976476,-10.193348736187412
WESC,2018-03-31,Q3,-30628,-83629,15275,307,1.4649463702782528,-9.090910630285256
TPC,2018-03-31,Q1,-10942000,1699680000,4308129000,1028156000,-0.025750729549091595,-21.28735246329472
DORM,2018-03-31,Q1,30647000,657138000,773048000,227262000,0.18654833535726134,35.85749739842809
EXPO,2018-03-30,Q1,20340000,306625000,440459000,90684000,0.26534039951080307,49.53368783006768
DK,2018-03-31,Q1,-34900000,1794300000,6084700000,2353200000,-0.07780192832859611,-8.950004577636719
TKOI,2018-03-31,Q1,-1184166,7956431,11601161,1605196,-0.5953252155394799,10.243901481662448
MCOA,2017-06-30,Q2,-20700871,-2929214,1465165,17023,28.26815794271091,87.31705605606169
URBN,2018-01-31,FY,108263000,1300903000,1952780000,3616014000,0.08322142388786866,-5.511583214527119
NMEX,2017-10-31,Q1,-97430,-329003,171256,11292,1.1845484691628951,40.33334022512054
HRB,2018-04-30,FY,613149000,393711000,3140949000,2766426000,1.5573580621318683,-2.242310815329123
BBY,2018-02-03,FY,1000000000,3612000000,13049000000,42151000000,0.2768549280177187,-14.039982201817347
PLUS,2018-03-31,FY,55122000,372603000,758704000,1410997000,0.14793761724945853,17.19390779490815
AMEH,2017-12-31,FY,45824328,159948028,490635793,357747410,0.2864951107743573,-13.625001907348633
EEFT,2018-03-31,Q1,26344000,1128087000,3157375000,550515000,0.0934112351263688,87.3472542299484
ICFI,2018-03-31,Q1,12417000,622501000,1127021000,302780000,0.07978782363401826,27.758191109609285
ASGN,2018-03-31,Q1,29092000,1030216000,1858159000,685173000,0.11295495313604137,-23.061070938856577
ALOT,2018-01-31,FY,3286000,63647000,122313000,113401000,0.0516285135198831,47.99999660915798
LIXT,2018-03-31,Q1,-379160,615881,854559,0,-2.462553642667983,500.0
BMTM,2017-12-31,FY,-2994096,343222,3718717,2577331,-8.723496745546614,360.00001833989137
ORA,2017-06-30,Q2,43834000,1115076000,2510633000,369262000,0.15724130014456414,-9.355831032575097
XRAY,2018-03-31,Q1,81100000,6693100000,10372800000,956100000,0.04846782507358324,1.1421606918894696
RCKT,2018-03-31,Q1,-15343000,170146000,217165000,0,-0.36070198535375503,2.214458458591083
AGO,2018-03-31,Q1,197000000,6784000000,14019000000,293000000,0.11615566037735849,24.69828507789616
DIOD,2018-03-31,Q1,18520000,868553000,1471362000,274512000,0.08529128331834672,16.874368941606548
CHUBA,2018-03-31,Q1,189000,58801000,90839000,26263000,0.012856924201969355,0.8429397470791504
UBCP,2018-03-31,Q1,1148000,44274000,488377000,4625000,0.10371775760039753,-12.14574861269349
NWPP,2018-03-31,Q1,80000,50232000,671570000,6966000,0.006370441153049849,-27.27272776532763
APT,2018-03-31,Q1,508000,31410000,34216000,11442000,0.06469277300222859,12.499995343387196
JANL,2017-12-31,Q1,179694,11463902,35738770,17348018,0.06269907052589947,-8.999996185302734
PDLB,2017-12-31,FY,-4387000,164785000,925522000,38989000,-0.026622568801772006,-16.446508840539025
RMR,2018-03-31,Q2,178966000,223264000,524961000,277822000,3.2063566002579904,-12.25899346440816
CHD,2018-03-31,Q1,157800000,2143300000,5942900000,1006000000,0.294499136845052,45.57531762246675
PXLW,2018-03-31,Q1,-598000,42916000,62463000,15292000,-0.05573678814428185,9.803925758990868
CNFR,2017-12-31,FY,-21542000,52826000,239032000,96837000,-0.4077916177639799,-46.782609690790586
BGNE,2018-03-31,Q1,-105116000,1344381000,1708927000,32544000,-0.31275657719054345,-20.1548547350793
CFFN,2018-03-31,Q2,55166000,1364740000,9116461000,162418000,0.16168940604071105,8.801955040048103
PNBK,2018-03-31,Q1,1065000,67605000,870417000,9312000,0.06301309074772576,-16.33422589712738
ABVC,2018-03-31,Q1,-262040,-1933329,2555675,0,0.5421529393083122,-25.0
OFLX,2018-03-31,Q1,4203000,60028000,74236000,25397000,0.28006930099287,16.615389310396633
FFIN,2018-03-31,Q1,34519000,969814000,7567449000,69082000,0.14237369227501356,26.849615251553537
HTLD,2018-03-31,Q1,13378000,585089000,823216000,156695000,0.09145958990854383,6.932889364368424
CMC,2018-05-31,Q3,86946000,1452716000,3245493000,3335285000,0.23940260863100565,-41.666665321948194
TAP,2018-03-31,Q1,282500000,13445900000,30184500000,2868000000,0.08404048817855257,-18.388282234793714
TPL,2018-03-31,Q1,43791000,110542000,134916000,60007000,1.5845922816666969,52.14356428988446
CCNE,2018-03-31,Q1,7097000,244811000,2908883000,29387000,0.11595884171871362,-11.426569051601167
MNTX,2017-09-30,Q3,-6982000,71087000,231857000,148634000,-0.3928707077243378,19.931663476347193
USRM,2017-12-31,FY,-3481491,-7100317,1598083,2126436,0.490328952918581,-46.60194181259955
SSKN,2018-03-31,Q1,-2223000,19807000,36755000,6466000,-0.448932195688393,127.99999237060547
NKTR,2018-03-31,Q1,-95792000,58283000,496790000,6295000,-6.574266938901567,-65.9815737409162
WELL,2018-03-31,Q1,453555000,14558435000,27746659000,1096965000,0.1246164165310351,43.78357739290434
SPG,2018-03-31,Q1,715524000,3505906000,31017860000,1399814000,0.8163641580806787,19.0292687054979
WCRS,2018-03-31,Q1,14074,66295317,103705355,23817194,0.0008491700854224741,-16.27907569889354
CKX,2018-03-31,Q1,837361,14919823,15605428,346695,0.2244962289431986,-3.285025507792394
BTAI,2018-03-31,Q1,-4282000,52106000,56321000,0,-0.32871454343069895,-8.763835755466648
VYST,2018-03-31,Q1,-1850374,-4638691,985331,3944,1.5956001380561886,28.749991307656313
PRK,2018-03-31,Q1,31123000,752774000,7518970000,73714000,0.16537765650779648,-7.016684414929145
CMS,2018-03-31,Q1,241000000,4596000000,22868000000,1953000000,0.20974760661444736,23.394807790864743
MGRC,2018-03-31,Q1,14466000,530284000,1148858000,12091000,0.10911888723778201,6.998299295799799
MERC,2018-03-31,Q1,25649000,584494000,1507180000,367903000,0.17552960338343934,8.95161810080061
TPHS,2018-03-31,Q1,-1558000,65729000,141445000,397000,-0.09481355261756606,-37.106919559297516
HASI,2018-03-31,Q1,-1228000,626952000,2220715000,27908000,-0.007834730569485384,33.05655828004074
CORR,2018-03-31,Q1,7707708,456020552,630423722,21544838,0.06760842656056432,-1.342281879194631
LOGX,2018-03-31,Q1,-1065884,-4449847,33179,6093,0.9581309200069126,114.28572188834751
LBUY,2018-03-31,Q3,-1310941,-572493,428483,785969,9.159525094629979,-12.318837512468384
