Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
HCMC,2020-03-31,Q1,-691294,5292381,13356308,4036172,-0.522482413870052,1100.0000873114934
MYFW,2020-06-30,Q2,10030000,139417000,1810526000,23982000,0.28776978417266186,81.19298031455592
FRHC,2020-03-31,FY,22130000,131309000,453523000,12134000,0.1685337638699556,261.5493017055525
SINT,2020-06-30,Q2,-2859000,19196000,24585000,411000,-0.595749114398833,-5.7894736842105265
CVEO,2020-06-30,Q2,-138983000,333619000,734583000,253494000,-1.6663679226902544,136.3587312241339
MDT,2020-07-31,Q1,491000000,50296000000,93906000000,6507000000,0.03904883092094799,36.100739002676534
CTS,2020-06-30,Q2,8665000,400892000,663389000,187272000,0.08645720044301208,79.44110499820496
ZZLL,2020-06-30,Q2,-85738,-829833,1728513,203142,0.41327833431545863,17.727274882399357
ANF,2020-08-01,Q2,-238239000,805681000,3308814000,1183687000,-1.1827956722325585,301.3800537904707
LPRO,2020-06-30,Q2,-41633000,-464251000,186534000,39497000,0.3587111282474351,174.1059492981273
IVDN,2020-07-31,Q3,-185289,811956,1565111,174048,-0.9128031568213056,15.625004074536356
SPG,2020-06-30,Q2,795952000,2029340000,34026170000,2415401000,1.568888407068308,91.56187592069044
AMBA,2020-07-31,Q2,-30219000,458647000,533398000,104758000,-0.26354909113108776,117.51325202950662
GRPN,2020-06-30,Q2,-283590000,117831000,1369319000,769796000,-9.627008172721949,149.4481162775251
EXLS,2020-06-30,Q2,30840000,680928000,1193613000,468463000,0.18116452840828987,68.78548826619607
AIHS,2020-03-31,FY,-9935803,2803697,15630718,15655575,-3.5438219607896286,189.9543259689211
QRHC,2020-06-30,Q2,977336,63429106,80847474,47301055,0.0616332823609401,333.3333186161374
NINE,2020-06-30,Q2,-325071000,69950000,468859000,199359000,-18.588763402430306,46.153837689281424
RLI,2020-06-30,Q2,30899000,1051458000,3619279000,416364000,0.11754725343285229,27.21072397379763
KLIC,2020-06-27,Q3,36516000,749644000,1029465000,445488000,0.19484448618277475,204.2079130792934
CCNE,2020-06-30,Q2,17059000,330272000,4469551000,78163000,0.20660546458676485,26.213043924121354
FNB,2020-06-30,Q2,131000000,4897000000,37721000000,587000000,0.10700428833979987,64.0000025431315
NTCT,2020-06-30,Q1,-17420000,1929817000,3067527000,183815000,-0.03610705056489812,12.949927396131022
BJRI,2020-06-30,Q2,-33217000,312594000,1102730000,382619000,-0.42504974503669296,130.03818978227716
MPAA,2020-06-30,Q1,-3012000,272101000,760000000,95356000,-0.044277676304019464,27.44765342687509
VSEC,2020-06-30,Q2,-19292000,342954000,787562000,346133000,-0.22500976807385248,57.24753606280457
VIAV,2020-06-27,FY,28700000.0,711400000.0,1776300000.0,1136300000.0,0.04034298566207478,38.941551063158556
MCFT,2020-06-30,FY,-24047000,48870000,207923000,363073000,-0.49206056885614896,35.01312516232489
LEN,2020-05-31,Q2,907321000,16542703000,29309025000,9792710000,0.21938881451235628,64.63252933333501
CBRE,2020-06-30,Q2,255642000,6243994000,15700414000,11270552000,0.16376825474207696,90.15921172598428
LCLP,2018-12-31,Q2,7046913,-6209307,45866,0,-4.539580987057009,-50.0
OMC,2020-06-30,Q2,257399999.99999997,2413000000.0,22641100000.0,6207600000.0,0.4266887675093245,44.54212522799105
IMCI,2020-06-30,Q2,-78887,-3967217,1917355,3602956,0.07953888078217047,177.77777777777777
AIV,2020-06-30,Q2,52181000,1698012000,7121147000,443360000,0.12292257062965398,33.32127450678544
FVTI,2020-06-30,Q2,-204402,-944657,256936,91227,0.8655077980685053,294.6153787466196
AMGN,2020-06-30,Q2,3628000000,10659000000,65011000000,12367000000,1.3614785627169528,2.7982727407938284
AGCO,2020-06-30,Q2,126300000.0,2676100000.0,7778000000.0,3935100000.0,0.18878218302754007,129.89542391769828
CIA,2020-06-30,Q2,-4611000,289793000,1812936000,114063000,-0.06364542966876356,-10.851413077916309
LEAI,2020-06-30,Q2,6836000,-31285000,11903000,17905000,-0.8740290874220873,0.0
MBCN,2020-06-30,Q2,4007000,140695000,1343320000,26164000,0.11392018195387185,13.927707901920181
NGS,2020-06-30,Q2,4247000,252857000,301159000,4064000,0.06718421874814619,68.42105983637109
CMG,2020-06-30,Q2,84563000,1704496000,5370129000,2775510000,0.19844693094028967,45.794219720765724
NFBK,2020-06-30,Q2,15344000,712576000,5041575000,83643000,0.08613256691216095,42.187487064964756
AAL,2020-06-30,Q2,-4308000000,-3169000000,64544000000,10137000000,5.437677500788892,61.28538956319818
LPSN,2020-06-30,Q2,-55628000,143314000,518157000,169691000,-1.552618725316438,56.40840592429939
CWEN,2020-06-30,Q2,-31000000,2232000000,9736000000,587000000,-0.05555555555555555,16.34865804455735
