Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
MTRX,2012-12-31,Q2,10120000,222380000,376074000,431044000,0.1820307581617052,107.21739064092222
AMNB,2012-12-31,FY,16006000,163246000,1283687000,57806000,0.09804834421670362,30.262498966734764
SCHW,2012-12-31,FY,928000000,9589000000,133637000000,4883000000,0.09677755761810408,78.13370846294991
SMCI,2012-12-31,Q2,5813000,351252000,583567000,562194000,0.06619748784348559,66.8627527061678
CIZN,2012-12-31,FY,6783999,88868830,880839898,34387813,0.07633721519682435,-6.992290781514743
PAYX,2013-02-28,Q3,445500000,1605900000,7507500000,1709900000,1.1096581356248831,25.49078366392506
EIG,2012-12-31,FY,106891000,539381000,3511339000,579182000,0.19817346180158366,54.37318063916939
CEVA,2012-12-31,FY,13685000,196068000,216333000,53677000,0.06979721321174287,-4.8888917953249
STRL,2012-12-31,FY,17712000,210148000,331510000,630507000,0.0842834573728991,18.108654594786742
PSX,2012-12-31,FY,4131000000,20775000000,48073000000,179460000000,0.19884476534296028,40.715637227595764
FRBK,2012-12-31,FY,3614000,69902000,988658000,38260000,0.05170095276243884,42.51208419424135
SBUX,2012-12-30,Q1,432400000,5169300000,8490100000,2989600000,0.3345907569690287,46.503819000549335
LAD,2012-12-31,FY,80362000,428101000,1492702000,3316487000,0.18771738444899685,85.22180905961082
PDM,2012-12-31,FY,93204000,2638886000,4254875000,536382000,0.035319449191818064,-7.091406279224439
EPR,2012-12-31,FY,121664000,1459521000,2946730000,321786000,0.08335885540530077,7.503793187319752
ARWR,2012-12-31,Q1,-158433732,8974780,15231131,4297850,-70.6128649393077,399.99996657683636
SYNA,2012-12-31,Q2,17167000,402108000,544407000,270081000,0.17077004187929612,73.34001319042665
HNNA,2012-12-31,Q1,768000,25924000,50563000,4703000,0.11850023144576455,167.6537194801509
BANF,2012-12-31,FY,51900000,519567000,6022250000,182587000,0.09989087066730566,32.50708276524123
HURN,2012-12-31,FY,36428000,445321000,787850000,625961000,0.08180166666292404,83.70436898914821
CVG,2012-12-31,FY,100600000,1371900000,2037900000,2005000000,0.07332895983672279,15.165167664744988
BECN,2012-12-31,Q1,18206000,684198000,1287028000,513710000,0.10643702553939065,22.29567985518822
BANC,2012-12-31,FY,5996000,188757000,1682702000,55031000,0.03176570935117638,7.579456534681878
CRM,2013-01-31,FY,-270445000,2317633000,5528956000,181387000,-0.11669017484649209,41.683610041635674
HALO,2012-12-31,FY,-53552002,48853719,134728397,2887442,-1.0961704266567711,126.82563607305059
V,2012-12-31,Q1,1293000000,27588000000,35859000000,2846000000,0.18747281426707263,45.73822469558173
AZO,2013-02-09,Q2,379698000,-1550109000,6662188000,3846238000,-0.979796904604773,38.72232411119923
FNB,2012-12-31,FY,110410000,1402069000,12023976000,431906000,0.07874790755661812,19.209039395819477
KMG,2013-01-31,Q2,5760000,114343000,172262000,122295000,0.20149899862693824,-20.767261505800583
TWIN,2012-12-28,Q2,4685000,140177000,299576000,141118000,0.13368812287322457,55.07075858947962
ROK,2012-12-31,Q1,161400000,1967800000,5711100000,1334200000,0.32808212216688687,40.13573037488315
JKHY,2012-12-31,Q2,82981000,1046563000,1569508000,494895000,0.31715625337413994,50.05094846145557
