Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
FAT,2018-12-30,FY,-1798000,5739000,57960000,18367000,-0.31329499912876807,1.0638338885950083
DENN,2018-12-26,FY,43693000,-133345000,335349000,630179000,-0.32766882897746447,24.53874363439998
BMRA,2018-11-30,Q2,-928984,4412012,5428762,2773661,-0.8422316167771076,7.473311118264611
THCT,2019-01-31,Q2,-3982277,-1479648,109094,0,10.765471247215554,-68.05555537159059
LLY,2018-12-31,FY,3232000000,9828700000,43908400000,24555700000,0.32883290770905615,13.463534105344715
CRMZ,2018-12-31,FY,-179332,2957832,13617180,13891004,-0.06062954217818997,-15.789471372673027
BHE,2018-12-31,FY,22817000,1132225000,1899783000,2566465000,0.02015235487646007,63.45608325333516
RUN,2018-12-31,FY,26657000,948707000,4749787000,759981000,0.028098243187833546,26.170792818596176
CUII,2018-03-31,Q1,1314522,21949041,59793187,17489380,0.23955889462323207,-41.99999809265137
XCUR,2018-12-31,FY,-22413000,20952000,28756000,118000,-1.0697308132875143,-19.77401186766003
BFNH,2018-12-31,FY,-67738,29804,35127,16310,-2.272782176889008,-82.56880809197007
YRIV,2018-12-31,FY,-13716485,171412244,386047090,0,-0.08002045058111484,-92.4846584904688
BLK,2018-12-31,FY,4302000000,32374000000,159573000000,14198000000,0.13288441341817508,27.498596558121918
RMR,2018-12-31,Q1,118080000,280858000,690299000,280313000,1.6817039215546645,-14.638282196173172
UHAL,2018-12-31,Q3,370026000,3692040000,11645760000,3043175000,0.40089056456593103,13.94654261896034
PTRC,2019-01-31,Q3,-4064455,4306452,10942705,1324483,-3.7752237805042297,-71.61904558086603
AMKR,2018-12-31,FY,129565000,1830540000,4495447000,4316466000,0.07077966064658515,102.28659410842971
NBN,2018-12-31,Q2,9659000,148491000,1194127000,39095000,0.26019085331770947,32.75552714990575
HCKT,2018-12-28,FY,23909000,123590000,180752000,285887000,0.19345416295816814,-0.12563101550140088
PSX,2018-12-31,FY,5873000000,24653000000,54302000000,111461000000,0.23822658499979718,28.113755997354907
CPB,2019-01-27,Q2,135000000,1269000000,14024000000,5407000000,0.425531914893617,40.97081784198138
CHRW,2018-12-31,FY,664505000,1595087000,4427412000,16631172000,0.41659483150448845,-7.789268293036991
HFUS,2019-01-31,Q2,-158936,457593,459265,0,-1.3893219520403504,-49.33333396911621
APPF,2018-12-31,FY,19967000,91846000,175741000,190071000,0.21739651155194564,83.45153183088459
FEIM,2019-01-31,Q3,-168000,64591000,84248000,36345000,-0.010403926243594309,-30.060420022954453
CIZN,2018-12-31,FY,6673127,83866317,958630077,31358732,0.07956861871017896,1.4285677955264138
SJW,2018-12-31,FY,38767000,889312000,1956389000,397699000,0.04359212514842935,29.07228028437259
DVA,2018-12-31,FY,333040000,3703442000,19110252000,11404851000,0.0899271542527195,43.956477164818494
RC,2018-12-31,FY,61457000,544831000,3036843000,169499000,0.11280011599927317,10.990603515175971
GPS,2019-02-02,FY,1003000000,3553000000,8049000000,16580000000,0.2822966507177033,-31.13133158809932
BMRN,2018-12-31,FY,-77211000,2967940000,4427128000,1491212000,-0.026015013780602034,-0.6576690287176139
FNCB,2018-12-31,FY,13349000,97219000,1237732000,45085000,0.1373085507976836,-2.9620854553247065
NOBH,2018-11-03,FY,4963632,49066501,57014688,42812265,0.10116131981777139,7.608695652173914
CNFR,2018-12-31,FY,-9227000,42163000,232752000,98911000,-0.21884116405379123,14.285714285714285
NVRO,2018-12-31,FY,-49205000,245483000,463116000,387289000,-0.20044157843924018,200.89997037699686
PBH,2018-12-31,Q3,103474000,1233120000,3668082000,734751000,0.33564940962761125,33.160621921674796
LTUM,2018-12-31,FY,-104493,569681,1025875,0,-0.1834237055474906,-56.66666480402147
RFIL,2019-01-31,Q1,640000,28693000,32507000,10647000,0.08922036733698115,-25.305624626341555
MRAM,2018-12-31,FY,-17754000,24921000,45045000,49417000,-0.712411219453473,-5.882351441216902
KBLB,2018-12-31,FY,-1168977,-4459223,71383,401620,0.2621481365699809,279.99998956918733
MKC,2018-11-30,FY,933400000,3182200000,10256400000,5408900000,0.29331908742379487,12.833333333333332
GVP,2018-12-31,FY,-354000,31129000,61440000,92249000,-0.011372032509878248,-12.380954197474889
DCO,2018-12-31,FY,9035000,256825000,648143000,629307000,0.03517959700184951,40.58370540285913
DVN,2018-12-31,FY,3224000000,9186000000,19566000000,4449000000,0.3509688656651426,13.265304568192873
NTGR,2018-12-31,FY,-18329000,627552000,1043376000,1058816000,-0.029207141400234563,-23.6910299407751
FDP,2018-12-28,FY,-15900000,1692000000,3255200000,4493900000,-0.009397163120567376,24.591909972062552
OPRX,2018-12-31,FY,226344,18458445,25054578,21206363,0.01226235471081123,-7.2926177872513485
