Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
BLGO,2011-06-30,Q2,-2332320,-1984147,325390,21734,4.7019096871350765,-12.500002793967683
ADP,2011-06-30,FY,1254200000,6010400000,34238300000,7805500000,0.2086716358312259,2.8473791136718143
HZO,2011-06-30,Q3,-5834000,199891000,357940000,361117000,-0.1167436252757753,3.8812801792733485
MGM,2011-06-30,Q2,3360820000,6365851000,27216190000,3318836000,2.1117804987895568,-18.31945548301005
SGMO,2011-06-30,Q2,-19837000,91612000,95621000,3714000,-0.8661310745317208,-10.356530908399094
LQMT,2011-06-30,Q2,-6256000,-23244000,14178000,6499000,1.0765789020822578,-32.65305985911895
COP,2011-06-30,Q2,6461000000,70059000000,160068000000,122157000000,0.36888907920467034,-4.865057399571215
FWRD,2011-06-30,Q2,19838000,282736000,382979000,252394000,0.2806575745571841,-8.049722246243613
SIGI,2011-06-30,Q2,23874000,1101034000,5369648000,803026000,0.08673301641911149,3.6877711406788567
ICCC,2011-06-30,Q2,-281331,9044637,11288650,2803144,-0.12441892361185972,-28.987340939348666
CSPI,2011-06-30,Q3,461000,18851000,41430000,49566000,0.09781974431064665,-7.316519136972892
TWI,2011-06-30,Q2,22241000,398701000,1071692000,685276000,0.22313462970998316,-3.7098087800461457
DUK,2011-06-30,Q2,954000000,22583000000,59792000000,7197000000,0.16897666386219723,22.46414984892138
ENV,2011-06-30,Q2,3851000,109981000,148845000,60596000,0.14006055591420336,-22.087546144028323
TTGT,2011-06-30,Q2,1743000,180654000,203601000,50668000,0.03859311169417782,-33.68560281254549
UNP,2011-06-30,Q2,1424000000,18306000000,44029000000,9348000000,0.3111548126297389,10.459768208181911
LL,2011-06-30,Q2,11064000,196869000,273807000,335140000,0.22479923197659357,27.36220062980052
NTLK,2011-06-30,Q3,-23355225,-11799870,5694153,1671410,7.917112646156271,-84.05797104579113
SNGX,2011-06-30,Q2,-3651728,4429633,5852909,1213825,-3.2975445144101103,-94.8
MTZ,2011-06-30,Q2,65581000,839637000,1996319000,1369433000,0.31242548863377867,-28.549692478710863
AJG,2011-06-30,Q2,56900000,1202800000,4581900000,993500000,0.18922514133688062,21.443583516338105
VPG,2011-07-02,Q2,6389000,186491000,255622000,121658000,0.1370361036189414,-17.25979060344617
MCHP,2011-06-30,Q1,99293000,1879222000,3029299000,374507000,0.21134916470752257,-14.956471094083557
EBF,2011-08-31,Q2,21136000,361961000,488092000,273642000,0.23357212517370657,-6.553244923456969
HTM,2011-06-30,Q1,-2345700,64623039,110721220,808259,-0.14519280035716053,-45.084509487456074
MTX,2011-07-03,Q2,33846000,791995000,1175263000,530919000,0.17094047310904742,-5.67879889280137
AXRX,2011-06-30,Q2,235664,485020,1520190,3621079,1.9435404725578327,-48.97959282973167
GTY,2011-06-30,Q2,26588000,402751000,636842000,53297000,0.2640639005241452,-25.96115479945019
MMAM,2011-06-30,Q2,-92880,-389091,12475,0,0.9548408984016592,-64.28571428571429
HMN,2011-06-30,Q2,14124000,932257000,7208047000,489824000,0.060601314873473734,9.929533791321026
FNLC,2011-06-30,Q2,6336000,156210000,1417690000,28251000,0.16224313424236605,13.728129266385054
EAT,2011-06-29,FY,141060000,438910000,1484568000,2761386000,0.3213870725205623,24.306684230038687
LXU,2011-06-30,Q2,49548000,255589000,463810000,413112000,0.7754324325381765,-31.66355952227583
URBN,2011-07-31,Q2,95317000,1304320000,1705424000,1133200000,0.2923117026496565,-3.8497355056303797
FCN,2011-06-30,Q2,38710000,1028499000,2299695000,762253000,0.15054949008214885,-25.672109162683977
CME,2011-06-30,Q2,752700000,20902500000,35589200000,1669900000,0.14404018658055256,-9.280157909809144
PPRW,2011-06-30,Q2,-5645000,10897000,49710000,39361000,-2.0721299440212904,-79.67479599167405
RFIL,2011-07-31,Q3,822699,19187002,26271976,13479610,0.17151173487134677,-6.950671303319962
MSCC,2011-07-03,Q3,12362000,841219000,1485021000,608563000,0.058781363711471094,-9.451519578672105
H,2011-06-30,Q2,46000000,4822000000,6997000000,1811000000,0.03815844048112816,-12.297894402973707
CVAS,2011-06-30,Q2,-6336,-14740797,10875997,3721569,0.0017193100210253218,-9.090910630285256
FTI,2011-06-30,Q2,181300000,1555800000,4200000000,1961900000,0.46612675151047694,-15.650816838429323
FRT,2011-06-30,Q2,68855000,1232565000,3220668000,273929000,0.2234527185178875,19.910776031591677
PRIM,2011-06-30,Q2,26740000,246011000,682325000,711601000,0.43477730670579773,-6.511621889561554
HBSI,2011-06-30,Q2,366000,41227000,406624000,10666000,0.03551070900138259,-19.11764705882353
SYPR,2011-07-03,Q2,502000,62794000,194172000,134264000,0.03197757747555499,67.14627488415259
CORT,2011-06-30,Q2,-192187000,48864000,52720000,1014000,-15.732400130975769,7.518795779429473
