Symbol,EndDate,Quarter,NetIncome,StockholdersEquity,TotalAssets,NetSales,ROE,Percent_Growth
HMMR,2019-01-31,Q2,-7412238,-876779,9338664,877318,33.81576429179987,-66.66666666666666
NTRA,2019-03-31,Q1,-34091000,4986000,261445000,66824000,-27.34937825912555,24.43792875726256
PPIH,2019-04-30,Q1,-1502000,50774000,106514000,24276000,-0.118328278252649,-37.50000133046081
CBNT,2018-12-31,FY,-9904719,-815123,326444,382244,12.151195586432967,-90.90909097066596
UPWK,2019-03-31,Q1,-4728000,243972000,433799000,68924000,-0.07751709212532586,-65.05376415757694
BUDZ,2019-03-31,Q1,-11136475,2457774,2746867,0,-18.124489883935627,-76.69902899980163
YRIV,2019-03-31,Q1,-2496011,175623906,395862225,0,-0.05684900323307921,-86.82170489804186
RUSHA,2019-03-31,Q1,37104000,1083421000,3422026000,1288884000,0.1369882991007189,-22.940335172509226
INTC,2019-03-30,Q1,3974000000,73661000000,129458000000,16061000000,0.21579940538412457,-3.9258841598662624
RDN,2019-03-31,Q1,170957000,3710091000,6599569000,363629000,0.18431569468242154,-31.0183004332841
ROCK,2019-03-31,Q1,6345000,605833000,866258000,227417000,0.04189273281580898,5.176645478998621
XDSL,2019-03-31,Q3,-1696306,-1793593,29830,0,3.7830343896302003,-30.000001192092896
SJW,2019-03-31,Q1,5873000,888293000,1958807000,77682000,0.026446228890692598,-7.942000006411257
BCII,2018-01-31,Q3,3907240,3326298,5417596,108194,4.698604875450125,-64.28571428571429
CRL,2019-03-30,Q1,55688000,1398114000,3926637000,604569000,0.15932320254285415,-13.243983947124677
FRT,2019-03-31,Q1,61803000,2388158000,6351366000,232227000,0.10351576403236301,-44.582084515436414
AXIM,2018-12-31,FY,-6754646,-6081819,2089254,195614,1.1106292377329874,-53.19999853769938
RSG,2019-03-31,Q1,234900000.0,7919500000.0,21782000000.0,2470600000.0,0.11864385377864764,-5.488185406786756
SPR,2019-03-28,Q1,163100000,1320600000,6297700000,1967800000,0.4940178706648493,-59.438945750305614
SCND,2019-03-31,Q3,354100,6019900,8531300,7255300,0.23528630043688434,112.5
GAIA,2019-03-31,Q1,-6726000,75333000,101769000,12467000,-0.3571343236032018,-9.572076244542282
STBA,2019-03-31,Q1,22928000,943156000,7229262000,78590000,0.0972394810614575,-32.543640233508945
ARGQ,2019-03-31,Q1,-975487,-1034415,1289697,34189,3.7721301411909147,-45.945943394843205
CENX,2019-03-31,Q1,-34600000,728100000,1530400000,490000000,-0.19008377970059057,-58.836441917410966
CLNE,2019-03-31,Q1,-12825000,499075000,697160000,77698000,-0.10279016179932876,-46.37223953410153
EVBG,2019-03-31,Q1,-14134000,184430000,426623000,42819000,-0.3065444884237922,43.58197270932901
SLGN,2019-03-31,Q1,46742000,900207000,4924573000,1027131000,0.20769445249814764,-8.070997314637143
CW,2019-03-31,Q1,55593000,1585580000,3328802000,578314000,0.14024647132279672,-16.714054918759558
BKTI,2019-03-31,Q1,-1318000,25877000,39891000,7644000,-0.2037330447888086,-59.3749994268784
JCTCF,2019-02-28,Q2,469323,20885429,22278746,16923275,0.08988524966377277,1.521440293557574
PG,2019-03-31,Q3,9203000000,55552000000,121673000000,50590000000,0.6626584101382489,6.300654976604614
SNCR,2019-03-31,Q1,-19737000,169400000,714635000,88105000,-0.4660448642266824,-49.08485702008319
OPVS,2019-03-31,Q1,-3496591,-13640822,557090,93280,1.0253314646287446,-15.25423653901086
MLM,2019-03-31,Q1,42826000,4972474000,10048407000,938955000,0.034450456653971444,-11.166666068282783
GSHD,2019-03-31,Q1,7318000,76777000,48402000,23133000,0.38126001276423926,66.41249203886281
ACCA,2019-03-31,Q1,-198025,-964788,872338,163505,0.8210093823720859,-89.71518916459182
AEO,2019-05-04,Q1,40752000,1241751000,3255353000,886290000,0.13127269476730843,-67.04932036920171
IPDN,2019-03-31,Q1,-1159369,-1865936,4416836,1346277,2.4853349739755277,-71.91357952013846
EXTR,2019-03-31,Q3,-8798000,125968000,711510000,743430000,-0.27937253905753845,-61.37841343939168
UGI,2019-03-31,Q2,485200000,3853000000,12350900000,4806300000,0.5037113937191798,-52.95179679887737
DCAC,2019-02-28,Q1,-51339,-2052043,950956,1271193,0.10007392632610525,-39.99999813735481
TELL,2019-03-31,Q1,-34126000,277611000,384012000,4959000,-0.49170962245732336,-92.34875416532539
ELS,2019-03-31,Q1,120535000,1181826000,4008877000,259090000,0.40796191655962893,-0.5080604523904678
TPB,2019-03-31,Q1,6560000,88841000,347542000,91628000,0.29535912472844744,-55.7989705397395
HURN,2019-03-31,Q1,3304000,549653000,1091360000,204445000,0.024044260651720266,-3.812134352867695
TAP,2019-03-31,Q1,149100000,13647300000,29823600000,2800100000,0.043700951836627026,-36.95543805419979
EXPO,2019-03-29,Q1,22712000,329177000,489220000,99031000,0.27598526020955294,22.176013776264707
APO,2019-03-31,Q1,315567000,1321491000,6721500000,677777000,0.9551847118141554,23.769631960266434
AYTU,2019-03-31,Q3,-12600007,16037179,38338067,5604612,-3.1426990993864945,8.333333333333332
CHE,2019-03-31,Q1,44667000,588010000,1069831000,462034000,0.3038519753065424,26.43628233947505
BBCP,2019-04-30,Q2,-13275000,238500000,747676000,95958000,-0.22264150943396227,-51.21212007366701
DWSN,2019-03-31,Q1,-137000,117252000,155172000,51164000,-0.004673694265343022,-64.40678185274186
LPSN,2019-03-31,Q1,-18890000,191039000,492211000,66402000,-0.3955213333403127,-22.271791033131052
